Unc00a9i,Unc05bd1,Unc054vi,Unc01c0q,Unc91005,UncG3786,UncO8895,Unc64172,Unc00y95,Unc01505,UNGROUPED,1.1.1.157,1.1.1.35,1.1.1.37,1.1.1.58,1.15.1.1,1.16.3.2,1.2.1.12,1.4.1.2,1.4.1.3,2.1.2.1,2.2.1.1,2.3.1.29,2.3.1.9,2.6.1.52,2.7.2.1,2.7.2.3,2.7.7.6,2.7.7.8,2.7.9.1,3.6.3.14,4.1.1.49,4.1.2.13,4.2.1.11,5.1.3.3,5.2.1.8,5.3.1.1,5.3.1.12,5.3.1.25,5.3.1.5,5.3.1.9,5.4.2.12,6.3.2.6,6.3.4.4,6.3.5.5
16,5682,1996,902,2707,41,232,2803,336,262,686,2,2,5,0,1,0,0,4,2,2,1,2,3,0,0,6,5,0,2,2,7,1,4,0,3,4,0,0,0,5,0,0,1,0
11,912,1168,169,387,8,850,4078,617,360,2635,5,5,6,1,1,1,2,0,0,0,1,4,4,11,2,8,7,3,10,4,35,3,0,1,3,19,25,12,0,23,7,1,4,1
0,7,1,0,1,1,0,0,1,2,2137,9,9,6,2,3,1,4,9,9,5,3,6,7,1,1,16,21,5,6,3,21,1,1,3,4,3,0,1,8,8,3,4,7,3
27,117,73,163,290,2006,60,1387,297,144,9488,19,18,8,6,2,8,7,22,15,15,5,15,27,36,19,77,91,24,75,80,130,11,15,1,10,52,8,10,16,18,10,23,23,7
85,7828,566,17,159,6,252,7402,11,31,1194,4,4,4,0,2,0,4,6,4,5,0,4,3,1,0,7,4,1,1,1,4,0,6,0,11,1,3,0,14,2,2,1,4,0
49,3323,2319,85,69,203,67,1016,29,16,4864,4,4,12,0,15,23,9,25,20,1,0,6,6,7,0,0,4,0,4,1,19,0,18,3,1,22,31,10,64,4,2,0,0,0
0,221,11,0,0,21,0,2,3,0,6223,1,1,6,13,2,22,1,52,46,14,16,10,2,15,7,22,43,8,13,23,41,0,9,3,15,15,1,2,6,8,0,17,10,13
6,1887,564,40,9,9,6,417,119,43,1226,5,5,3,2,2,0,1,6,4,5,0,7,5,2,0,11,8,2,4,5,17,0,6,1,7,6,0,0,0,3,1,1,5,3
55,0,0,11,0,228,145,0,0,0,2266,0,0,3,1,3,1,5,1,0,0,2,1,0,1,8,15,15,1,13,16,23,4,11,0,18,7,3,15,0,2,3,3,5,1
3024,12085,9,2,1040,494,996,10,0,361,558,1,1,6,1,3,0,3,8,2,1,1,3,0,2,0,3,4,1,0,3,6,1,0,0,3,1,0,0,0,0,0,0,2,0
1,1334,253,105,131,316,310,4147,47,55,10753,24,23,10,30,39,21,3,31,54,22,12,18,21,14,22,124,137,33,81,51,125,11,36,3,63,19,1,0,14,32,19,23,44,18
0,1218,273,68,242,30,36,108,41,47,8665,13,13,43,8,6,31,3,38,37,12,6,20,24,43,4,31,64,18,20,17,60,1,21,10,13,23,30,15,44,25,7,11,15,6
1,2425,470,112,84,0,39,2559,698,64,4693,25,25,15,4,4,5,6,15,8,7,5,6,33,9,5,38,58,17,36,22,47,9,12,2,11,19,8,8,18,12,8,15,14,7
0,0,0,0,0,33,0,15,0,0,8359,31,31,5,13,18,7,1,17,32,18,6,13,27,12,16,67,97,22,67,38,63,16,10,7,30,27,1,1,8,25,10,30,22,22
8,21,7,2,0,7411,6,11,0,0,292,0,0,4,0,1,0,6,0,0,0,3,2,0,0,0,2,6,2,0,6,0,3,1,0,3,1,0,0,0,1,0,0,0,0
5,0,3,0,0,114,20,1,0,13,2216,6,6,6,3,6,0,6,13,15,3,2,6,2,6,2,13,9,7,3,3,14,3,5,1,9,10,2,4,5,3,6,4,6,2
20,3,8034,304,416,3,958,2486,807,228,8713,19,19,27,4,19,12,49,34,17,22,10,10,31,41,24,74,73,23,70,53,116,25,40,3,49,27,12,12,23,35,19,13,30,4
