Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.2798481825257715,2.0435817663454334,288,0,Pearson Correlation,American Gut
1.2013960069527627,1.8445853068502527,288,0,Pearson Correlation,American Gut
1.1568601028614331,1.7435886698470524,288,0,Pearson Correlation,American Gut
1.2257078928166694,1.8922097735880778,288,0,Pearson Correlation,American Gut
1.2178285798905637,1.8768320746182978,288,0,Pearson Correlation,American Gut
1.2138633566018078,1.870273518433847,288,0,Pearson Correlation,American Gut
1.2024887037741694,1.8439740335389725,288,0,Pearson Correlation,American Gut
1.2078280314108534,1.8579258226538309,288,0,Pearson Correlation,American Gut
1.1980392168252834,1.8379608318696898,288,0,Pearson Correlation,American Gut
1.1954391756392748,1.8326063129627397,288,0,Pearson Correlation,American Gut
1.2035733691458372,1.851763918606731,288,0,Pearson Correlation,American Gut
1.1946651466127578,1.8323970868518653,288,0,Pearson Correlation,American Gut
1.1834750050576992,1.8074052326221421,288,0,Pearson Correlation,American Gut
1.188471019368844,1.8192683206447908,288,0,Pearson Correlation,American Gut
1.1953029138694014,1.8349926504434113,288,0,Pearson Correlation,American Gut
1.1836832838321556,1.802351456719482,288,0,Pearson Correlation,American Gut
1.1885630044865967,1.8141000928722189,288,0,Pearson Correlation,American Gut
1.1955557028672734,1.8301921468579634,288,0,Pearson Correlation,American Gut
1.1902347777575117,1.8187262874740537,288,0,Pearson Correlation,American Gut
1.1934072513314282,1.8265130534273917,288,0,Pearson Correlation,American Gut
1.1893268673908537,1.8171662001720723,288,0,Pearson Correlation,American Gut
1.1887813098749553,1.8164405154764731,288,0,Pearson Correlation,American Gut
1.1858775069958183,1.8106654227652872,288,0,Pearson Correlation,American Gut
1.1806481605011727,1.7991196027543641,288,0,Pearson Correlation,American Gut
1.1761152173705274,1.7885461595231749,288,0,Pearson Correlation,American Gut
1.174903859459808,1.7861046146953592,288,0,Pearson Correlation,American Gut
1.1760032195806696,1.7890569968760266,288,0,Pearson Correlation,American Gut
1.179465114276006,1.797166451150324,288,0,Pearson Correlation,American Gut
1.1825509732412987,1.8043908703215596,288,0,Pearson Correlation,American Gut
1.1812979323980852,1.8019113015621637,288,0,Pearson Correlation,American Gut
1.1841590290978345,1.8085865990541683,288,0,Pearson Correlation,American Gut
1.187648766889242,1.8165828601934473,288,0,Pearson Correlation,American Gut
1.191725979212896,1.8258691871774824,288,0,Pearson Correlation,American Gut
1.1814453128456266,1.8001214560856704,288,0,Pearson Correlation,American Gut
1.1817876288364648,1.8013377158772148,288,0,Pearson Correlation,American Gut
