Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.3119977293857583,1.9817627627025018,288,20,Pearson Correlation,American Gut
1.1636683743538956,1.6168873178359058,288,20,Pearson Correlation,American Gut
1.209319647628515,1.7197002173439173,288,20,Pearson Correlation,American Gut
1.2206222946001177,1.7494271826632553,288,20,Pearson Correlation,American Gut
1.2543366342229723,1.827649291799825,288,20,Pearson Correlation,American Gut
1.2639095355182208,1.8520864437900302,288,20,Pearson Correlation,American Gut
1.2533897460644223,1.8297479835866521,288,20,Pearson Correlation,American Gut
1.2567883398490869,1.8384048032196745,288,20,Pearson Correlation,American Gut
1.2619982426477792,1.851702830995241,288,20,Pearson Correlation,American Gut
1.2594690568759874,1.8477598651105365,288,20,Pearson Correlation,American Gut
1.263322591227671,1.857490429630077,288,20,Pearson Correlation,American Gut
1.2695406682066297,1.8725206093899938,288,20,Pearson Correlation,American Gut
1.2756656515775775,1.8872247514751896,288,20,Pearson Correlation,American Gut
1.2781119676347414,1.8935084471707344,288,20,Pearson Correlation,American Gut
1.2663777630641748,1.863891122854061,288,20,Pearson Correlation,American Gut
1.271332606863208,1.8758733700157042,288,20,Pearson Correlation,American Gut
1.2664365593633238,1.8644675837644797,288,20,Pearson Correlation,American Gut
1.265902730530511,1.8636642854255112,288,20,Pearson Correlation,American Gut
1.2708025868669859,1.875419030227549,288,20,Pearson Correlation,American Gut
1.2738017788048581,1.8827731399845211,288,20,Pearson Correlation,American Gut
1.271799583256275,1.87856486988623,288,20,Pearson Correlation,American Gut
1.2733649040985908,1.8825697938095824,288,20,Pearson Correlation,American Gut
1.2736364837972434,1.8835170479989973,288,20,Pearson Correlation,American Gut
1.274325309069651,1.8854297831632465,288,20,Pearson Correlation,American Gut
1.274984134888519,1.8872161167184933,288,20,Pearson Correlation,American Gut
1.2778166309353367,1.894077450625739,288,20,Pearson Correlation,American Gut
1.2798354313055749,1.8990161490965904,288,20,Pearson Correlation,American Gut
1.2807655936224727,1.9013857476628668,288,20,Pearson Correlation,American Gut
1.2805750465579997,1.9011492049451642,288,20,Pearson Correlation,American Gut
1.282317851630226,1.9053740945512894,288,20,Pearson Correlation,American Gut
1.2835652709867225,1.9084545822265266,288,20,Pearson Correlation,American Gut
1.2847175433723435,1.9113083710722205,288,20,Pearson Correlation,American Gut
1.2858078081185365,1.9140092399009758,288,20,Pearson Correlation,American Gut
1.2842020218072139,1.9102362393007242,288,20,Pearson Correlation,American Gut
1.2844788602818162,1.911051571807456,288,20,Pearson Correlation,American Gut
1.284863418414119,1.9120698938737126,288,20,Pearson Correlation,American Gut
1.2866705621009171,1.9163862199734356,288,20,Pearson Correlation,American Gut
1.2855068924167659,1.913788186176694,288,20,Pearson Correlation,American Gut
1.2868139062831365,1.9169703384723913,288,20,Pearson Correlation,American Gut
1.2882734357407457,1.9204606747999218,288,20,Pearson Correlation,American Gut
1.2896388446382179,1.923740068628022,288,20,Pearson Correlation,American Gut
1.2898492832338553,1.9243475810785178,288,20,Pearson Correlation,American Gut
1.2921084328255874,1.9296807399630111,288,20,Pearson Correlation,American Gut
1.2901723829039093,1.9252394868808094,288,20,Pearson Correlation,American Gut
1.292394739026648,1.930490945249846,288,20,Pearson Correlation,American Gut
1.2929601392759362,1.9319113272054114,288,20,Pearson Correlation,American Gut
1.2938635368195868,1.9341203125278872,288,20,Pearson Correlation,American Gut
1.2927263849621506,1.9313327360220036,288,20,Pearson Correlation,American Gut
1.2940237451887635,1.9344687665100295,288,20,Pearson Correlation,American Gut
1.2940048267041742,1.9345141256343463,288,20,Pearson Correlation,American Gut
1.2930142682726218,1.9319835987601306,288,20,Pearson Correlation,American Gut
1.2925656621833188,1.9309782118070895,288,20,Pearson Correlation,American Gut
1.2928656628172557,1.9317586950582768,288,20,Pearson Correlation,American Gut
1.2930005946869345,1.9321399926989378,288,20,Pearson Correlation,American Gut
1.2921984320470215,1.9303348738746706,288,20,Pearson Correlation,American Gut
1.291991062831524,1.929892976817332,288,20,Pearson Correlation,American Gut
1.292282166392166,1.9306528366604314,288,20,Pearson Correlation,American Gut
1.2907975308372082,1.9271204204680024,288,20,Pearson Correlation,American Gut
1.2912980416218705,1.928358277863321,288,20,Pearson Correlation,American Gut
1.2918082048182855,1.929617708433352,288,20,Pearson Correlation,American Gut
1.2868315096477683,1.916347292582326,288,20,Pearson Correlation,American Gut
1.287370740995757,1.9176933479330538,288,20,Pearson Correlation,American Gut
1.287436192793405,1.9179191473268138,288,20,Pearson Correlation,American Gut
1.2877027487890682,1.91861443135402,288,20,Pearson Correlation,American Gut
1.2892540958599774,1.922167926182393,288,20,Pearson Correlation,American Gut
1.2901790621095053,1.9243958637850755,288,20,Pearson Correlation,American Gut
1.2903620838752192,1.9249015018875941,288,20,Pearson Correlation,American Gut
1.2898809264990136,1.9239337847352482,288,20,Pearson Correlation,American Gut
1.2890688068662586,1.9220921500484047,288,20,Pearson Correlation,American Gut
1.2891625428753049,1.9223890260621301,288,20,Pearson Correlation,American Gut
1.2862572126175733,1.914562621691268,288,20,Pearson Correlation,American Gut
1.2852972895516603,1.9120688134914832,288,20,Pearson Correlation,American Gut
1.28636522331696,1.91458840129788,288,20,Pearson Correlation,American Gut
1.287635296630703,1.9175693482214433,288,20,Pearson Correlation,American Gut
1.2889909843228742,1.920787828920153,288,20,Pearson Correlation,American Gut
1.2895700386410285,1.9222128085203396,288,20,Pearson Correlation,American Gut
1.2899543153968336,1.9231920351544498,288,20,Pearson Correlation,American Gut
1.2902418186524942,1.9239472308313215,288,20,Pearson Correlation,American Gut
1.289870911475959,1.9231009728265407,288,20,Pearson Correlation,American Gut
1.2903061521665027,1.9241886571927198,288,20,Pearson Correlation,American Gut
1.291006711065246,1.925893661823464,288,20,Pearson Correlation,American Gut
1.2919691824954513,1.9281986073605384,288,20,Pearson Correlation,American Gut
1.292491957492583,1.929494033936199,288,20,Pearson Correlation,American Gut
1.2924663975194095,1.9294761190378098,288,20,Pearson Correlation,American Gut
1.2917561262561335,1.927804589160147,288,20,Pearson Correlation,American Gut
1.2920148277669103,1.9284755575898471,288,20,Pearson Correlation,American Gut
1.2924057269781124,1.929454240682832,288,20,Pearson Correlation,American Gut
1.2922905250816799,1.929239922852785,288,20,Pearson Correlation,American Gut
1.293334116674838,1.9317396947071472,288,20,Pearson Correlation,American Gut
1.2932992843636104,1.9317019685420032,288,20,Pearson Correlation,American Gut
1.2926309581373454,1.9302047678083964,288,20,Pearson Correlation,American Gut
1.2917858913744105,1.9282157738701295,288,20,Pearson Correlation,American Gut
1.2919856881703164,1.928743697301326,288,20,Pearson Correlation,American Gut
1.2912799526762422,1.9270619806290332,288,20,Pearson Correlation,American Gut
1.2900003188445779,1.9239647573405767,288,20,Pearson Correlation,American Gut
1.2894014809037382,1.9226361006615131,288,20,Pearson Correlation,American Gut
1.289559593166666,1.9230547615812863,288,20,Pearson Correlation,American Gut
1.290048192237598,1.9242439907192224,288,20,Pearson Correlation,American Gut
1.2887946895260773,1.9212067603452698,288,20,Pearson Correlation,American Gut
1.2888261406359542,1.9213511152744758,288,20,Pearson Correlation,American Gut
1.2895451967332088,1.9230713029268582,288,20,Pearson Correlation,American Gut
1.2903529247308425,1.9249941977932334,288,20,Pearson Correlation,American Gut
1.2911964008751577,1.9269871642167768,288,20,Pearson Correlation,American Gut
1.2905759709165707,1.9254905164195426,288,20,Pearson Correlation,American Gut
1.2898161490072189,1.9236999887544834,288,20,Pearson Correlation,American Gut
1.2898844033111858,1.923898160051716,288,20,Pearson Correlation,American Gut
1.2900845478998084,1.924413007414667,288,20,Pearson Correlation,American Gut
1.2901035687186853,1.924488141367544,288,20,Pearson Correlation,American Gut
1.2899919225901562,1.924263647479188,288,20,Pearson Correlation,American Gut
1.2902472541197785,1.9249071685730372,288,20,Pearson Correlation,American Gut
1.2906506197125773,1.9258942523752498,288,20,Pearson Correlation,American Gut
1.2914798072136395,1.9278236838240477,288,20,Pearson Correlation,American Gut
1.2920128159900608,1.929112028443279,288,20,Pearson Correlation,American Gut
1.2923408254105553,1.9299231081991661,288,20,Pearson Correlation,American Gut
1.2934012359967175,1.9323922281062518,288,20,Pearson Correlation,American Gut
1.2937950850744646,1.9333552022029596,288,20,Pearson Correlation,American Gut
1.2933553756048628,1.9323246729606371,288,20,Pearson Correlation,American Gut
1.2938571856375696,1.9335370974218442,288,20,Pearson Correlation,American Gut
1.2942544452577447,1.934512212511517,288,20,Pearson Correlation,American Gut
1.2939305843547375,1.9337709558245733,288,20,Pearson Correlation,American Gut
1.2943916829905175,1.9348789865084177,288,20,Pearson Correlation,American Gut
1.2944817846913481,1.9351318464414418,288,20,Pearson Correlation,American Gut
1.294580314291061,1.935397681637428,288,20,Pearson Correlation,American Gut
1.293649253196041,1.933162863247836,288,20,Pearson Correlation,American Gut
1.2938291965227253,1.93362308205358,288,20,Pearson Correlation,American Gut
1.2936742043657903,1.9332988993588591,288,20,Pearson Correlation,American Gut
1.0812979530531406,1.664398392048229,288,21,Pearson Correlation,American Gut
1.169440972448214,1.8422127103928005,288,21,Pearson Correlation,American Gut
1.1932334249846073,1.896307098335993,288,21,Pearson Correlation,American Gut
1.1371190998916987,1.7646689326819163,288,21,Pearson Correlation,American Gut
1.1916401369188492,1.8767760831043523,288,21,Pearson Correlation,American Gut
1.2012760833883425,1.9013583074555958,288,21,Pearson Correlation,American Gut
1.1993150766847793,1.8993592900329932,288,21,Pearson Correlation,American Gut
1.2041994968462808,1.9119937865152836,288,21,Pearson Correlation,American Gut
1.2046697793575132,1.9144453956973817,288,21,Pearson Correlation,American Gut
1.1943772471816523,1.889724809575226,288,21,Pearson Correlation,American Gut
1.1855958047139854,1.8712037829635095,288,21,Pearson Correlation,American Gut
1.1915679856352217,1.885368504058846,288,21,Pearson Correlation,American Gut
1.17609327655444,1.8483291870736578,288,21,Pearson Correlation,American Gut
1.1584818577538056,1.805112278617057,288,21,Pearson Correlation,American Gut
1.1660444828869498,1.8226066749886793,288,21,Pearson Correlation,American Gut
1.170001759564233,1.83244655188391,288,21,Pearson Correlation,American Gut
1.1650756415568362,1.8233678498013945,288,21,Pearson Correlation,American Gut
1.1696612885450979,1.8342838717870482,288,21,Pearson Correlation,American Gut
1.1764518819470722,1.8495681186228954,288,21,Pearson Correlation,American Gut
1.1729649555936834,1.8419860345324617,288,21,Pearson Correlation,American Gut
1.1714988367245984,1.8397046936756065,288,21,Pearson Correlation,American Gut
1.1653554696993165,1.825606670966773,288,21,Pearson Correlation,American Gut
1.1635669007172618,1.82251119791042,288,21,Pearson Correlation,American Gut
1.1639837681982839,1.8238584609667672,288,21,Pearson Correlation,American Gut
1.1611264374197237,1.8171780968950897,288,21,Pearson Correlation,American Gut
1.16524673961499,1.8264823071653984,288,21,Pearson Correlation,American Gut
1.1593592077269461,1.813278012728841,288,21,Pearson Correlation,American Gut
1.1627415594150796,1.8210354400048732,288,21,Pearson Correlation,American Gut
1.1640503539316065,1.8244023573216603,288,21,Pearson Correlation,American Gut
1.164108952475218,1.8247794568958264,288,21,Pearson Correlation,American Gut
1.1667334666818094,1.830849712015896,288,21,Pearson Correlation,American Gut
1.169298765721843,1.836781332063452,288,21,Pearson Correlation,American Gut
1.1736706834315611,1.8464135936168726,288,21,Pearson Correlation,American Gut
1.1697875803774767,1.837503067044773,288,21,Pearson Correlation,American Gut
1.1709522049333847,1.8403970357665673,288,21,Pearson Correlation,American Gut
1.1707803875584994,1.840509246159127,288,21,Pearson Correlation,American Gut
1.1736350590470457,1.8469783161993998,288,21,Pearson Correlation,American Gut
1.16748533080681,1.8309121884075228,288,21,Pearson Correlation,American Gut
