Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.0236656584301342,1.5767865410268576,288,40,Pearson Correlation,American Gut
1.1242015475940983,1.7700130502098506,288,40,Pearson Correlation,American Gut
1.1592300271630391,1.8463590743864324,288,40,Pearson Correlation,American Gut
1.0992531049959635,1.6994164673391632,288,40,Pearson Correlation,American Gut
1.15966443907766,1.820627203133424,288,40,Pearson Correlation,American Gut
1.1647495009596318,1.8367835605733889,288,40,Pearson Correlation,American Gut
1.1675310455336279,1.8469301819709831,288,40,Pearson Correlation,American Gut
1.1772326420175163,1.870723313088067,288,40,Pearson Correlation,American Gut
1.1824224511278976,1.884352677720708,288,40,Pearson Correlation,American Gut
1.170091567774594,1.8584715578127853,288,40,Pearson Correlation,American Gut
1.1634550612730317,1.8440199805614605,288,40,Pearson Correlation,American Gut
1.1701919059188037,1.8601491403490553,288,40,Pearson Correlation,American Gut
1.0937432092665351,1.6306268612636226,288,40,Pearson Correlation,American Gut
1.0641214674616921,1.5602365644455902,288,40,Pearson Correlation,American Gut
1.0750471781696243,1.588003231887799,288,40,Pearson Correlation,American Gut
1.0861731700154111,1.6155691425830556,288,40,Pearson Correlation,American Gut
1.0866710300809828,1.6208168630454276,288,40,Pearson Correlation,American Gut
1.0922744261200408,1.636502758996417,288,40,Pearson Correlation,American Gut
1.1020132093576558,1.6599005295001394,288,40,Pearson Correlation,American Gut
1.100875225043544,1.660614043468161,288,40,Pearson Correlation,American Gut
1.1079928127468688,1.6784102143056068,288,40,Pearson Correlation,American Gut
1.1014705873994248,1.667689334514302,288,40,Pearson Correlation,American Gut
1.0862828508568965,1.6318367969811827,288,40,Pearson Correlation,American Gut
1.088003226867634,1.6379391543768946,288,40,Pearson Correlation,American Gut
1.0896370666261346,1.6434561828498264,288,40,Pearson Correlation,American Gut
1.0937775534579666,1.6542554215938867,288,40,Pearson Correlation,American Gut
1.0985130183724365,1.6661090261578528,288,40,Pearson Correlation,American Gut
1.0973995616903462,1.6652657482506825,288,40,Pearson Correlation,American Gut
1.1017784532902608,1.6761571624332372,288,40,Pearson Correlation,American Gut
1.1053601623310616,1.6853728140342668,288,40,Pearson Correlation,American Gut
1.1062554443108779,1.6885810664633207,288,40,Pearson Correlation,American Gut
1.1093549180626485,1.696584328432445,288,40,Pearson Correlation,American Gut
1.1143471030489462,1.7082169110578589,288,40,Pearson Correlation,American Gut
1.1197652623853203,1.7206162950621773,288,40,Pearson Correlation,American Gut
1.1129273281157004,1.7047219852517908,288,40,Pearson Correlation,American Gut
1.1157272071962114,1.7119181369773981,288,40,Pearson Correlation,American Gut
1.117321327388355,1.7164820567124375,288,40,Pearson Correlation,American Gut
1.1211794653044345,1.7256401225465823,288,40,Pearson Correlation,American Gut
1.119899275697272,1.7239166682385871,288,40,Pearson Correlation,American Gut
1.1219777856488404,1.729422803884437,288,40,Pearson Correlation,American Gut
1.1250303749564803,1.7368376331849598,288,40,Pearson Correlation,American Gut
1.1222966882811278,1.7309999796322921,288,40,Pearson Correlation,American Gut
1.1287508783108244,1.7442235778459487,288,40,Pearson Correlation,American Gut
1.1237084644933626,1.7338192302430273,288,40,Pearson Correlation,American Gut
1.129356161141262,1.745747474107026,288,40,Pearson Correlation,American Gut
1.129940738124816,1.7478426525432387,288,40,Pearson Correlation,American Gut
1.1324743008487,1.7540406506824555,288,40,Pearson Correlation,American Gut
1.1327900919783962,1.7555517908711618,288,40,Pearson Correlation,American Gut
1.1363512081252418,1.7636311771943989,288,40,Pearson Correlation,American Gut
