Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.116782542442278,1.6910284845774883,288,60,Pearson Correlation,American Gut
1.1893058228806155,1.8341491239125471,288,60,Pearson Correlation,American Gut
1.1824386761228258,1.8162715606166724,288,60,Pearson Correlation,American Gut
1.1887524635407465,1.830615737433949,288,60,Pearson Correlation,American Gut
1.2240810617292588,1.905134847675866,288,60,Pearson Correlation,American Gut
1.2368355986923563,1.9341493171587476,288,60,Pearson Correlation,American Gut
1.2272560646221184,1.9120759733799464,288,60,Pearson Correlation,American Gut
1.2291997592418373,1.9173114292420443,288,60,Pearson Correlation,American Gut
1.230607671805672,1.9211045303875096,288,60,Pearson Correlation,American Gut
1.2347646758158675,1.9308674342862164,288,60,Pearson Correlation,American Gut
1.229039483421199,1.9183819193689213,288,60,Pearson Correlation,American Gut
1.233445815128328,1.9285036244458738,288,60,Pearson Correlation,American Gut
1.236933609927437,1.9366063313586395,288,60,Pearson Correlation,American Gut
1.23605096822761,1.9349060837183671,288,60,Pearson Correlation,American Gut
1.237546866865052,1.9385338659241096,288,60,Pearson Correlation,American Gut
1.2404033803214303,1.9451356328314706,288,60,Pearson Correlation,American Gut
1.23626029544318,1.9364122703783424,288,60,Pearson Correlation,American Gut
1.2384199707590728,1.9414190029656564,288,60,Pearson Correlation,American Gut
1.242279893875724,1.9500327076204078,288,60,Pearson Correlation,American Gut
1.2398987795103038,1.9444843933588756,288,60,Pearson Correlation,American Gut
1.241101920322597,1.9473495495913424,288,60,Pearson Correlation,American Gut
1.238910731232602,1.9425419534671902,288,60,Pearson Correlation,American Gut
1.2395070500083654,1.9440036228133843,288,60,Pearson Correlation,American Gut
1.232684964973239,1.928328320629308,288,60,Pearson Correlation,American Gut
1.2325687089365505,1.9281975204581276,288,60,Pearson Correlation,American Gut
1.2273174552209978,1.915255733554642,288,60,Pearson Correlation,American Gut
1.2223779521773315,1.9037006577062432,288,60,Pearson Correlation,American Gut
1.2199856804826024,1.8982594182913393,288,60,Pearson Correlation,American Gut
1.2208299291850269,1.9002829432243544,288,60,Pearson Correlation,American Gut
1.2224808332204355,1.9040805440582247,288,60,Pearson Correlation,American Gut
1.2249925690341088,1.909656825109406,288,60,Pearson Correlation,American Gut
1.2262518472520885,1.9126017393720558,288,60,Pearson Correlation,American Gut
1.2253677755225043,1.9106869411241507,288,60,Pearson Correlation,American Gut
1.2259954098798695,1.9122118384614,288,60,Pearson Correlation,American Gut
1.2256161373694634,1.9115041078598272,288,60,Pearson Correlation,American Gut
1.2274419824992848,1.9156174758315363,288,60,Pearson Correlation,American Gut
1.22691528653781,1.9145348733942233,288,60,Pearson Correlation,American Gut
1.227204718645395,1.915248525286459,288,60,Pearson Correlation,American Gut
1.2261269204232765,1.9129270603135917,288,60,Pearson Correlation,American Gut
1.2197383738457883,1.8964444720486158,288,60,Pearson Correlation,American Gut
1.2207159203619424,1.8987610314374885,288,60,Pearson Correlation,American Gut
1.2209862992310727,1.8995055537078716,288,60,Pearson Correlation,American Gut
1.2185493638466989,1.8938876594220757,288,60,Pearson Correlation,American Gut
1.2215899058709228,1.9004513772579577,288,60,Pearson Correlation,American Gut
1.2202077447832673,1.8971103199233983,288,60,Pearson Correlation,American Gut
1.2227793428710219,1.902775527489947,288,60,Pearson Correlation,American Gut
1.2203483481826072,1.897161345714592,288,60,Pearson Correlation,American Gut
1.2170302715841421,1.888606488697172,288,60,Pearson Correlation,American Gut
1.2178408181035474,1.890574261245554,288,60,Pearson Correlation,American Gut
1.2201721298587374,1.89569633205482,288,60,Pearson Correlation,American Gut
1.221969012846443,1.8996809201180023,288,60,Pearson Correlation,American Gut
1.2228093950409178,1.9016948363947945,288,60,Pearson Correlation,American Gut
1.2210426305364892,1.8978829202664091,288,60,Pearson Correlation,American Gut
1.222277255683273,1.9007160230840867,288,60,Pearson Correlation,American Gut
1.2209344575953256,1.8977522446344546,288,60,Pearson Correlation,American Gut
1.2205474935933855,1.8969179938216416,288,60,Pearson Correlation,American Gut
1.2181857935893476,1.891642500765939,288,60,Pearson Correlation,American Gut
1.216049331711972,1.886814484110454,288,60,Pearson Correlation,American Gut
1.2146906172172856,1.8837137056035904,288,60,Pearson Correlation,American Gut
1.2152353805873335,1.8850531097549366,288,60,Pearson Correlation,American Gut
1.214994282802359,1.8846929172247018,288,60,Pearson Correlation,American Gut
1.2129313257019105,1.8797817383141586,288,60,Pearson Correlation,American Gut
1.2135689034140205,1.8813174957932643,288,60,Pearson Correlation,American Gut
1.2137070058033637,1.881732172134559,288,60,Pearson Correlation,American Gut
1.2143864888219567,1.8833549640393548,288,60,Pearson Correlation,American Gut
1.2147632280331777,1.8843132778022513,288,60,Pearson Correlation,American Gut
1.2156698543861526,1.8864141085978945,288,60,Pearson Correlation,American Gut
1.2161980444815028,1.8876929583424586,288,60,Pearson Correlation,American Gut
1.2153272286947479,1.8857398570285477,288,60,Pearson Correlation,American Gut
1.2145322770823417,1.8838747279929546,288,60,Pearson Correlation,American Gut
1.2097541019707412,1.8714354035218637,288,60,Pearson Correlation,American Gut
1.2101620384192517,1.8724532725285588,288,60,Pearson Correlation,American Gut
1.2101195489207341,1.8724476329953998,288,60,Pearson Correlation,American Gut
1.2110785314940449,1.8746706987889081,288,60,Pearson Correlation,American Gut
1.2125918971926,1.878023517302009,288,60,Pearson Correlation,American Gut
1.2138808733120992,1.8809111406130568,288,60,Pearson Correlation,American Gut
1.2147809628212256,1.883008662781287,288,60,Pearson Correlation,American Gut
1.2141444687858092,1.8816152273694837,288,60,Pearson Correlation,American Gut
1.211818081982441,1.8758465517362812,288,60,Pearson Correlation,American Gut
1.2122017122494353,1.8768238445491638,288,60,Pearson Correlation,American Gut
1.2132599487755196,1.8792402712984213,288,60,Pearson Correlation,American Gut
1.21363345904209,1.8801781108916567,288,60,Pearson Correlation,American Gut
1.2148797723295484,1.8829863826676931,288,60,Pearson Correlation,American Gut
1.2124128201923194,1.8762138774343755,288,60,Pearson Correlation,American Gut
1.2103390469322544,1.8715696960506325,288,60,Pearson Correlation,American Gut
1.2105898834461017,1.8722412349501378,288,60,Pearson Correlation,American Gut
