Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.1030101554307612,1.478411964131197,288,70,Pearson Correlation,American Gut
1.201156815920841,1.693198289631584,288,70,Pearson Correlation,American Gut
1.196927440516316,1.6874947527992266,288,70,Pearson Correlation,American Gut
1.1415121560178507,1.5519270358321369,288,70,Pearson Correlation,American Gut
1.212877530882818,1.712659195933548,288,70,Pearson Correlation,American Gut
1.2189281730488692,1.7274608973786816,288,70,Pearson Correlation,American Gut
1.2167492751559394,1.723362566857131,288,70,Pearson Correlation,American Gut
1.225551608355783,1.745859602917613,288,70,Pearson Correlation,American Gut
1.2352391134173502,1.7700379095449683,288,70,Pearson Correlation,American Gut
1.207797448549426,1.6979896909642802,288,70,Pearson Correlation,American Gut
1.1965102370571001,1.6714635008559269,288,70,Pearson Correlation,American Gut
1.209079147444567,1.7021060206199423,288,70,Pearson Correlation,American Gut
1.1587010063292098,1.5671150483610627,288,70,Pearson Correlation,American Gut
1.1387335048098655,1.516725494654923,288,70,Pearson Correlation,American Gut
1.1506722464601036,1.5459286945566721,288,70,Pearson Correlation,American Gut
1.1635964458304118,1.5774389022227224,288,70,Pearson Correlation,American Gut
1.162499852440489,1.5757459841658354,288,70,Pearson Correlation,American Gut
1.1665645499453197,1.5868154582050285,288,70,Pearson Correlation,American Gut
1.1781091676985562,1.6147946870769334,288,70,Pearson Correlation,American Gut
1.1657875203352583,1.5822785704622737,288,70,Pearson Correlation,American Gut
1.1720069318592647,1.5981875136559975,288,70,Pearson Correlation,American Gut
1.1650854805118092,1.581429415961611,288,70,Pearson Correlation,American Gut
1.1452364568039397,1.5290734735929614,288,70,Pearson Correlation,American Gut
1.1489422797564037,1.5386200882583305,288,70,Pearson Correlation,American Gut
1.1522436965782044,1.5475491359559217,288,70,Pearson Correlation,American Gut
1.15503542232957,1.554826378377291,288,70,Pearson Correlation,American Gut
1.1596124237542798,1.5667050878754238,288,70,Pearson Correlation,American Gut
1.159888121345956,1.567822942290449,288,70,Pearson Correlation,American Gut
1.164497322117557,1.5794939306904046,288,70,Pearson Correlation,American Gut
