Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.1672674502376,1.793550046526749,288,10,Pearson Correlation,American Gut
1.1873912415493757,1.836968024154172,288,10,Pearson Correlation,American Gut
1.2004820763188109,1.8696241371251117,288,10,Pearson Correlation,American Gut
1.1252449768407407,1.6658128324481547,288,10,Pearson Correlation,American Gut
1.1872413785344529,1.8021620994887715,288,10,Pearson Correlation,American Gut
1.1894409718994203,1.8123967010479651,288,10,Pearson Correlation,American Gut
1.1814245322615464,1.79900855255237,288,10,Pearson Correlation,American Gut
1.18812691010132,1.8179512410036982,288,10,Pearson Correlation,American Gut
1.1922293378720379,1.8299182605539752,288,10,Pearson Correlation,American Gut
1.1952386727738817,1.8389458801251228,288,10,Pearson Correlation,American Gut
1.2029104048922479,1.8587391996897804,288,10,Pearson Correlation,American Gut
1.1951984188377516,1.8383804674336754,288,10,Pearson Correlation,American Gut
1.177868834738146,1.7940220726513327,288,10,Pearson Correlation,American Gut
1.1784918474604593,1.7970386638410798,288,10,Pearson Correlation,American Gut
1.1863949603503188,1.8165630333657974,288,10,Pearson Correlation,American Gut
1.1860148641722204,1.8170499562235867,288,10,Pearson Correlation,American Gut
1.184986218012828,1.8156685717256502,288,10,Pearson Correlation,American Gut
1.1900094750072756,1.8284320296562706,288,10,Pearson Correlation,American Gut
1.1897851129381942,1.8287491157315077,288,10,Pearson Correlation,American Gut
1.192010932547497,1.8348571270919412,288,10,Pearson Correlation,American Gut
1.1889767381422045,1.8277854305946155,288,10,Pearson Correlation,American Gut
1.176925513202941,1.7971989077716242,288,10,Pearson Correlation,American Gut
1.1651847781597058,1.766858703445426,288,10,Pearson Correlation,American Gut
1.1667351326552624,1.771109460446914,288,10,Pearson Correlation,American Gut
1.1656314678021726,1.768560628502905,288,10,Pearson Correlation,American Gut
1.16504626689001,1.7677884327754951,288,10,Pearson Correlation,American Gut
1.1646534163648024,1.767345568691941,288,10,Pearson Correlation,American Gut
1.1669292779158973,1.7732745774113867,288,10,Pearson Correlation,American Gut
1.164341884537371,1.7672874311798745,288,10,Pearson Correlation,American Gut
1.1607198246607222,1.758997268011947,288,10,Pearson Correlation,American Gut
1.1638601342222474,1.7667760465047828,288,10,Pearson Correlation,American Gut
1.1665604716243942,1.7735478075477706,288,10,Pearson Correlation,American Gut
1.171946987878055,1.786263276214717,288,10,Pearson Correlation,American Gut
1.17273566821435,1.7884417331888234,288,10,Pearson Correlation,American Gut
1.1737007296168975,1.7911159495378446,288,10,Pearson Correlation,American Gut
1.1666211365731654,1.7730804220668233,288,10,Pearson Correlation,American Gut
1.1661807912542719,1.7720044643201707,288,10,Pearson Correlation,American Gut
1.1602747024842686,1.7572144528729714,288,10,Pearson Correlation,American Gut
1.1620245750812686,1.7617119607051053,288,10,Pearson Correlation,American Gut
1.161429099910742,1.7602350563299587,288,10,Pearson Correlation,American Gut
1.164805122729024,1.7682818246710668,288,10,Pearson Correlation,American Gut
1.1655206173152646,1.7703311526504513,288,10,Pearson Correlation,American Gut
1.171653265246626,1.7836747507691142,288,10,Pearson Correlation,American Gut
1.172717303347599,1.7865710645820438,288,10,Pearson Correlation,American Gut
1.1780806179109633,1.7985459092713048,288,10,Pearson Correlation,American Gut
1.1728588092935486,1.7857419139995931,288,10,Pearson Correlation,American Gut
1.1749379378649334,1.790976779879786,288,10,Pearson Correlation,American Gut
1.1768027077818906,1.795690843838862,288,10,Pearson Correlation,American Gut
1.1805679161264078,1.8045943914674396,288,10,Pearson Correlation,American Gut
1.1797576409727515,1.8026949839578958,288,10,Pearson Correlation,American Gut
1.1814598827151839,1.8070147835051042,288,10,Pearson Correlation,American Gut
1.1804394250110402,1.8049759723900434,288,10,Pearson Correlation,American Gut
1.1798733895160005,1.8038060023523914,288,10,Pearson Correlation,American Gut
