Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.0633737405046308,1.487443521047802,288,110,Pearson Correlation,American Gut
1.1718066154467017,1.7163864165860334,288,110,Pearson Correlation,American Gut
1.2124870146934732,1.8076517447201188,288,110,Pearson Correlation,American Gut
1.185687163414164,1.7446573630675495,288,110,Pearson Correlation,American Gut
1.2215551175629318,1.8252404727737042,288,110,Pearson Correlation,American Gut
1.233401821745179,1.854006554195996,288,110,Pearson Correlation,American Gut
1.2285469854938849,1.8438253293046227,288,110,Pearson Correlation,American Gut
1.213430179112856,1.8029344932776068,288,110,Pearson Correlation,American Gut
1.2172554940768399,1.8130393751881009,288,110,Pearson Correlation,American Gut
1.219504663377056,1.8188087259178145,288,110,Pearson Correlation,American Gut
1.2179242019611864,1.8158019388849713,288,110,Pearson Correlation,American Gut
1.2257004516924923,1.8345565165138755,288,110,Pearson Correlation,American Gut
1.2283015685185876,1.8414740289056253,288,110,Pearson Correlation,American Gut
1.2250402967275371,1.8340301690057714,288,110,Pearson Correlation,American Gut
1.228579694121279,1.842802817839387,288,110,Pearson Correlation,American Gut
1.2344553998283365,1.8569249507702357,288,110,Pearson Correlation,American Gut
1.2366063975642807,1.8625336696395662,288,110,Pearson Correlation,American Gut
1.2335014312626003,1.8548147538236992,288,110,Pearson Correlation,American Gut
1.2370197629333337,1.8634838807394947,288,110,Pearson Correlation,American Gut
1.2401077671213188,1.8711856000023321,288,110,Pearson Correlation,American Gut
1.242367867508937,1.8769214660170173,288,110,Pearson Correlation,American Gut
1.240557989006256,1.8727222321153079,288,110,Pearson Correlation,American Gut
1.243192522122604,1.8792560820232016,288,110,Pearson Correlation,American Gut
1.2415522903103071,1.8758629945597052,288,110,Pearson Correlation,American Gut
1.2378445460796845,1.8677300023081764,288,110,Pearson Correlation,American Gut
1.240030507729399,1.873123873355099,288,110,Pearson Correlation,American Gut
1.2423575970673018,1.8788496079905035,288,110,Pearson Correlation,American Gut
1.2416146749787893,1.8774008434461829,288,110,Pearson Correlation,American Gut
1.2432677171621607,1.881512121472473,288,110,Pearson Correlation,American Gut
1.2402149942642848,1.874266590020594,288,110,Pearson Correlation,American Gut
1.2393639927887032,1.8724060571964936,288,110,Pearson Correlation,American Gut
1.236315557070255,1.864968116099619,288,110,Pearson Correlation,American Gut
1.2383871086682778,1.8699732490919179,288,110,Pearson Correlation,American Gut
1.2420122906369795,1.8784324322351513,288,110,Pearson Correlation,American Gut
1.2390577576196233,1.8712166070047607,288,110,Pearson Correlation,American Gut
1.2377648291724146,1.8685090411359369,288,110,Pearson Correlation,American Gut
1.2385443658615014,1.8705118399823961,288,110,Pearson Correlation,American Gut
1.2378825588909892,1.8688298460965715,288,110,Pearson Correlation,American Gut
1.237354230448858,1.8677417204704385,288,110,Pearson Correlation,American Gut
1.238533943539878,1.8706501028628217,288,110,Pearson Correlation,American Gut
1.2400282369730817,1.8742884835296363,288,110,Pearson Correlation,American Gut
1.2398895940395578,1.874115724867358,288,110,Pearson Correlation,American Gut
1.2397868474825238,1.8740448005991652,288,110,Pearson Correlation,American Gut
1.242672623569484,1.880628001662538,288,110,Pearson Correlation,American Gut
1.2437377628525004,1.8832651058960823,288,110,Pearson Correlation,American Gut
1.2458878741032278,1.8883119419762602,288,110,Pearson Correlation,American Gut
1.2461355895118953,1.8890474691984416,288,110,Pearson Correlation,American Gut
1.2472812227660528,1.8918639175243277,288,110,Pearson Correlation,American Gut
1.2486023854941481,1.8950707241541294,288,110,Pearson Correlation,American Gut
1.2507169880887046,1.9000605791537823,288,110,Pearson Correlation,American Gut
1.2494388339362532,1.897126077927168,288,110,Pearson Correlation,American Gut
1.2503369477690218,1.8993519149750295,288,110,Pearson Correlation,American Gut
