Mean Accuracy Error,Mean Squared Error,# of Samples,Index of Predicted Column,Algorithm,Data Set
1.1236012853706194,1.780566136763063,288,90,Pearson Correlation,American Gut
1.16238275758365,1.8550956299556307,288,90,Pearson Correlation,American Gut
1.180076723472231,1.8925220239800495,288,90,Pearson Correlation,American Gut
1.1686452495755155,1.867732869804052,288,90,Pearson Correlation,American Gut
1.189751565905003,1.913113369832995,288,90,Pearson Correlation,American Gut
1.1969142633151302,1.9287221834162769,288,90,Pearson Correlation,American Gut
1.1790862528218558,1.889066109901543,288,90,Pearson Correlation,American Gut
1.1873548516406367,1.9069571859352479,288,90,Pearson Correlation,American Gut
1.1989962203244582,1.9319488693031874,288,90,Pearson Correlation,American Gut
1.2022203553685826,1.939212735345344,288,90,Pearson Correlation,American Gut
1.1905134324212463,1.9136350772119688,288,90,Pearson Correlation,American Gut
1.195172725506291,1.923882617654321,288,90,Pearson Correlation,American Gut
1.1981840090794367,1.9305781728128073,288,90,Pearson Correlation,American Gut
1.195434985454925,1.9246250650679768,288,90,Pearson Correlation,American Gut
1.1943487133240778,1.9222364991181284,288,90,Pearson Correlation,American Gut
1.1983200845999802,1.9309426636134832,288,90,Pearson Correlation,American Gut
1.1910119188970034,1.9139953943807653,288,90,Pearson Correlation,American Gut
1.188792378208695,1.9091648020904175,288,90,Pearson Correlation,American Gut
1.1909235242606404,1.913930790859992,288,90,Pearson Correlation,American Gut
1.1950557283905856,1.9229221540400137,288,90,Pearson Correlation,American Gut
1.1950896746579884,1.9232179632595043,288,90,Pearson Correlation,American Gut
1.1957105709300702,1.924686839922179,288,90,Pearson Correlation,American Gut
1.193612049371576,1.9202686187859623,288,90,Pearson Correlation,American Gut
1.184552397980963,1.8978035943723985,288,90,Pearson Correlation,American Gut
1.1853231833366227,1.8997211063044221,288,90,Pearson Correlation,American Gut
1.1799515994630756,1.8876993237827182,288,90,Pearson Correlation,American Gut
1.181928936987317,1.892141720257139,288,90,Pearson Correlation,American Gut
1.1795076894909944,1.886869849626217,288,90,Pearson Correlation,American Gut
1.1807580375143911,1.8897142954997443,288,90,Pearson Correlation,American Gut
1.1803072868333904,1.8887972208524617,288,90,Pearson Correlation,American Gut
1.182154091941498,1.8929119500474165,288,90,Pearson Correlation,American Gut
1.1841820785629347,1.897408411115726,288,90,Pearson Correlation,American Gut
1.1800299851120433,1.8876536046281056,288,90,Pearson Correlation,American Gut
1.1827423782049498,1.8936197833595192,288,90,Pearson Correlation,American Gut
1.1831736771895678,1.8947718356995829,288,90,Pearson Correlation,American Gut
1.1843900521775337,1.8975395597948963,288,90,Pearson Correlation,American Gut
1.179937444513467,1.887853874957162,288,90,Pearson Correlation,American Gut
1.1796985231975243,1.887475262939216,288,90,Pearson Correlation,American Gut
1.1787248351534745,1.8854030982572623,288,90,Pearson Correlation,American Gut
1.1801945070145217,1.8886758391332468,288,90,Pearson Correlation,American Gut
1.181778800043764,1.8921803021379948,288,90,Pearson Correlation,American Gut
1.1762230050323863,1.8766595584458545,288,90,Pearson Correlation,American Gut
1.173438981133629,1.8700244660146308,288,90,Pearson Correlation,American Gut
1.1754222288231189,1.8744700993414218,288,90,Pearson Correlation,American Gut
1.1766304325753822,1.877248208397706,288,90,Pearson Correlation,American Gut
1.1790690011434366,1.882595548697436,288,90,Pearson Correlation,American Gut
1.1774800922052182,1.879000888390376,288,90,Pearson Correlation,American Gut
1.1788128156586202,1.88202837380694,288,90,Pearson Correlation,American Gut
1.1800126200147547,1.8847631530743563,288,90,Pearson Correlation,American Gut
1.1822032091375485,1.8895707266294635,288,90,Pearson Correlation,American Gut
1.1840149934340998,1.8935301004523066,288,90,Pearson Correlation,American Gut
1.185488687207384,1.8968453997042067,288,90,Pearson Correlation,American Gut
1.1860070223471213,1.898129477236411,288,90,Pearson Correlation,American Gut
1.1874456143023777,1.9013306270302301,288,90,Pearson Correlation,American Gut
1.1889934648990634,1.9047317795704781,288,90,Pearson Correlation,American Gut
1.188615093335495,1.903984269331788,288,90,Pearson Correlation,American Gut
1.1904402286900375,1.9079590096252272,288,90,Pearson Correlation,American Gut
1.1899830250503558,1.9070745005523584,288,90,Pearson Correlation,American Gut
1.1898732530295844,1.9070231719832194,288,90,Pearson Correlation,American Gut
1.1911227455738465,1.9098526422842619,288,90,Pearson Correlation,American Gut
1.1914479662969775,1.9106769453451387,288,90,Pearson Correlation,American Gut
1.1913493013995544,1.9105545932876882,288,90,Pearson Correlation,American Gut
1.1909719642374414,1.9098833104574975,288,90,Pearson Correlation,American Gut
1.1922263631915233,1.9126544576948743,288,90,Pearson Correlation,American Gut
1.19331585870882,1.9151259093581823,288,90,Pearson Correlation,American Gut
1.1879927915301856,1.9005838890780156,288,90,Pearson Correlation,American Gut
1.1890882139776255,1.9030728361781355,288,90,Pearson Correlation,American Gut
1.1887106218358174,1.9023954863744943,288,90,Pearson Correlation,American Gut
1.1884745005539499,1.9019544267651227,288,90,Pearson Correlation,American Gut
1.1873755536877002,1.8994462031057167,288,90,Pearson Correlation,American Gut
1.1875103010602572,1.8998786632428724,288,90,Pearson Correlation,American Gut
1.1882994295862277,1.901705869718308,288,90,Pearson Correlation,American Gut
1.1879379530556073,1.9009003111605318,288,90,Pearson Correlation,American Gut
1.187796070556586,1.9007326999225418,288,90,Pearson Correlation,American Gut
1.1887464906402085,1.9028888007667915,288,90,Pearson Correlation,American Gut
1.1894524402333646,1.9045445469796611,288,90,Pearson Correlation,American Gut
1.1902935422711698,1.9064670244664204,288,90,Pearson Correlation,American Gut
1.1904206253176222,1.906858592883269,288,90,Pearson Correlation,American Gut
1.1889686600923755,1.903438065484163,288,90,Pearson Correlation,American Gut
1.1889521843706867,1.9035104027545589,288,90,Pearson Correlation,American Gut
1.1860382051728147,1.8960093748234585,288,90,Pearson Correlation,American Gut
1.186948327366422,1.898083436251598,288,90,Pearson Correlation,American Gut
1.1878923257073655,1.900214925140536,288,90,Pearson Correlation,American Gut
1.1891667390908436,1.903024139547777,288,90,Pearson Correlation,American Gut
1.189008142222666,1.9028358457981145,288,90,Pearson Correlation,American Gut
1.1888394216586966,1.902570516377492,288,90,Pearson Correlation,American Gut
1.1881196253560427,1.9010296533541835,288,90,Pearson Correlation,American Gut
1.1880563064612346,1.9010333603039271,288,90,Pearson Correlation,American Gut
1.1877490817155802,1.9004586120804683,288,90,Pearson Correlation,American Gut
1.1886188230518373,1.9024546634414294,288,90,Pearson Correlation,American Gut
1.1882724426352977,1.9017521677139975,288,90,Pearson Correlation,American Gut
1.1883997806891875,1.9021392898122198,288,90,Pearson Correlation,American Gut
1.1892041096416557,1.9039601080376574,288,90,Pearson Correlation,American Gut
1.1891195487132222,1.9038419627669692,288,90,Pearson Correlation,American Gut
1.1877519409627386,1.9005914366033707,288,90,Pearson Correlation,American Gut
1.187323307117829,1.8997128749547254,288,90,Pearson Correlation,American Gut
1.188044009085985,1.9013527341025522,288,90,Pearson Correlation,American Gut
1.18856416899604,1.9025694518386373,288,90,Pearson Correlation,American Gut
1.1890579637801573,1.90372494096241,288,90,Pearson Correlation,American Gut
1.1895728402242083,1.9049267864914203,288,90,Pearson Correlation,American Gut
1.1878099832660252,1.9003992251354458,288,90,Pearson Correlation,American Gut
1.1885600506918463,1.902109186714673,288,90,Pearson Correlation,American Gut
1.1893892976774483,1.9039781565155935,288,90,Pearson Correlation,American Gut
1.1901493443152853,1.9056875867269778,288,90,Pearson Correlation,American Gut
1.1901382733103425,1.9057513486657323,288,90,Pearson Correlation,American Gut
1.190654708420228,1.9069522193495223,288,90,Pearson Correlation,American Gut
1.1908744702167775,1.9075155665508245,288,90,Pearson Correlation,American Gut
1.185905531875469,1.8931149020444644,288,90,Pearson Correlation,American Gut
1.1859856190174822,1.8933994414113486,288,90,Pearson Correlation,American Gut
1.1862589776513126,1.8941060464330433,288,90,Pearson Correlation,American Gut
1.184748882275735,1.8904490076064269,288,90,Pearson Correlation,American Gut
1.1852124487341584,1.8915638597534736,288,90,Pearson Correlation,American Gut
1.185446722760212,1.892188399985053,288,90,Pearson Correlation,American Gut
