"","Bacillus","Klebsiella","Erysipelotrichaceae_incertae_sedis","Varibaculum","Ureibacillus","Eubacterium","Acidovorax","Porphyromonadaceae_unclassified","Parvimonas","Clostridium_IV","Lactobacillales_unclassified","Haemophilus","Firmicutes_unclassified","Peptostreptococcus","Bifidobacterium","Burkholderiales_unclassified","Lactobacillaceae_unclassified","Methylobacteriaceae_unclassified","Rothia","Coriobacteriaceae_unclassified","Lysinibacillus","Faecalibacterium","Gemmiger","Sphingomonadaceae_unclassified","Brachyspira","Clostridia_unclassified","Actinomycetales_unclassified","Collinsella","Flavonifractor","Bifidobacteriaceae_unclassified","Slackia","Bacillales_unclassified","Butyricimonas","Peptoniphilus","Aneurinibacillus","Lactobacillus","Streptococcaceae_unclassified","Pelomonas","Anaerococcus","Leuconostoc","Methylocystis","Spirochaetaceae_unclassified","Bacillaceae_2_unclassified","Turicibacter","Clostridium_XlVa","Paenibacillus","Treponema","Brevibacillus","Atopobium","Clostridium_XlVb","Veillonella","Succinivibrio","Ruminococcaceae_unclassified","Mitsuokella","Microbacteriaceae_unclassified","Sutterella","Clostridium_XVIII","Escherichia_Shigella","Sarcina","Eggerthella","Cetobacterium","Lachnospiracea_incertae_sedis","Burkholderiales_incertae_sedis_unclassified","Fusobacteriaceae_unclassified","Clostridium_sensu_stricto","Akkermansia","Roseburia","Prevotellaceae_unclassified","Barnesiella","Megasphaera","Weissella","Dorea","Mogibacterium","Actinobacteria_unclassified","Enterococcaceae_unclassified","Catenibacterium","unknown_unclassified","Ruminococcus","Dialister","Alphaproteobacteria_unclassified","Streptococcus","Bacteroidetes_unclassified","Howardella","Megamonas","Enterobacteriaceae_unclassified","Butyrivibrio","Anaerobacter","Desulfovibrio","Enterococcus","Odoribacter","Campylobacter","Subdoligranulum","Pseudomonas","Cloacibacterium","Lactococcus","Bacteroides","Pseudoflavonifractor","Prevotella","Comamonas","Eubacteriaceae_unclassified","Granulicatella","Peptostreptococcaceae_unclassified","Streptophyta_unclassified","Butyricicoccus","Gemella","Proteobacteria_unclassified","Propionibacteriaceae_unclassified","Blautia","Propionibacterium","Bacteroidales_unclassified","Bacteria_unclassified","Clostridiales_unclassified","Oscillibacter","Comamonadaceae_unclassified","Clostridium_XI","Staphylococcus","Alistipes","TM7_genera_incertae_sedis_unclassified","Veillonellaceae_unclassified","Erysipelotrichaceae_unclassified","Parabacteroides","Actinomyces","Clostridiaceae_1_unclassified","Lachnospiraceae_unclassified","Bacilli_unclassified","Selenomonadales_unclassified","Bacillaceae_1_unclassified","Gammaproteobacteria_unclassified"
"M550",0,0,77,2,0,0,0,0,0,0,6,0,95,0,0,0,0,0,0,0,0,579,0,0,0,1,0,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,15,0,0,0,0,7,0,0,0,0,0,10,0,0,0,219,0,1,0,0,0,1,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,409,0,0,41,13,0,0,1,0,0,0,0,106,0,0,8,908,1,0,0,0
"M554",0,0,57,0,0,1,0,0,1,0,2,0,46,0,0,0,0,0,0,9,0,302,0,0,1,0,0,63,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,577,0,0,0,0,5,0,0,0,6,0,0,0,0,4,1252,0,0,0,59,1,0,0,0,0,329,0,0,19,51,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,589,0,0,0,0,1,0,1,1,0,111,0,47,391,299,0,0,7,0,0,0,0,3,0,0,1,371,0,0,0,1
"M559",0,0,466,0,2,0,0,0,0,0,5,0,51,0,56,0,0,0,1,45,1,1653,0,0,0,2,2,599,12,1,7,16,0,0,0,0,2,0,0,0,0,0,0,51,0,0,0,0,0,0,7,0,1793,0,0,0,2,9,1,0,0,21,0,0,0,0,11,292,0,0,1,174,1,5,0,0,0,23,50,0,637,8,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,60,0,0,3,3,0,0,1,0,0,807,0,18,457,53,0,0,103,2,0,0,5,30,1,8,309,1494,2,0,0,1
"M56",0,0,413,0,0,1,0,0,0,2,0,2,253,0,68,0,0,0,4,151,0,115,0,0,0,1,0,190,7,0,52,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,4,0,341,0,0,0,0,1,3,8,0,3,0,0,0,0,1,4,0,0,0,141,1,7,0,108,0,377,67,0,9,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,539,0,2,471,255,0,0,203,0,0,0,1,8,0,3,70,200,0,0,0,0
"M560",0,0,2,0,2,0,0,0,0,1,0,0,28,0,0,3,0,0,0,136,0,74,1,0,0,4,2,31,9,0,3,4,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,1917,0,0,0,0,0,189,2,0,0,0,0,0,105,1,75,5,0,0,8,0,5,0,0,0,115,0,0,1,4,0,0,0,0,0,0,1,5,0,0,0,0,0,5,1,25,2,0,0,48,0,0,0,0,0,30,0,25,590,179,20,0,4702,0,43,0,0,3,2,0,11,77,0,0,0,0
"M562",0,0,134,0,0,0,0,0,0,0,18,0,93,0,219,0,0,0,0,37,0,354,0,0,0,3,2,56,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,80,0,0,0,2,0,1,1,0,49,0,0,0,0,0,20,0,0,0,166,0,6,0,0,0,2,10,0,996,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,222,0,2,80,89,0,0,1,0,0,0,1,275,0,3,31,627,1,0,0,0
"M568",0,0,23,0,0,0,0,0,0,0,12,2,7,1,0,0,0,0,1,2,0,540,0,0,0,2,1,22,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,37,0,0,0,21,4,0,0,0,14,0,1,0,0,5,5,1,0,0,80,2,0,0,0,0,0,0,0,1572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,2,0,1,219,0,1,6,12,0,0,1,0,1,0,0,6,0,2,0,1161,0,0,0,0
"M569",0,1,193,0,0,0,0,0,1,0,17,3,39,3,2,0,0,0,0,6,0,623,0,0,28,0,0,37,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,210,0,0,0,0,5,63,0,0,3,0,0,0,0,1,1143,0,0,7,81,0,2,0,0,0,0,3,0,1581,78,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,494,0,0,0,0,0,0,0,0,0,145,0,12,33,21,0,0,4,0,0,2,17,6,0,1,32,135,2,0,0,0
"M572",0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1237,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,36,0,0,0,0,0,0,0,0,0,7326,0,0,0,1,0,0,0,0,0,0,0,0,17,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,475,0,0,0,0,0,0,0,0,0,22,0,76,8,6,0,0,0,0,0,1,0,0,0,2,0,54,0,0,0,0
"M575",125,0,32,0,0,1,0,0,0,0,2,0,101,0,0,0,0,0,0,23,0,83,0,0,2,0,1,35,3,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,271,0,0,0,1,1320,546,2,0,11,0,0,36,0,2,149,0,0,4,21,2,8,0,47,0,11,3,0,5,3,1,0,8,1,0,0,43,0,0,0,0,0,0,2,0,166,0,0,3,17,0,0,0,3,0,39,0,13,270,270,0,0,1544,0,1,0,0,2,0,2,17,66,0,1,0,1
"M58",0,0,150,0,3,0,0,0,0,1,0,0,78,0,51,0,0,0,0,55,0,71,0,0,0,2,0,311,2,0,15,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,378,0,0,0,0,0,0,2,0,5,0,0,0,0,3,32,0,0,1,88,0,14,0,46,0,52,30,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,183,0,1,434,103,1,0,37,0,0,0,0,3,0,0,396,153,1,0,0,0
"M581",0,0,28,0,0,0,0,0,0,0,21,1,37,0,10,0,0,0,1,36,0,1363,0,0,0,0,2,294,12,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,76,0,606,0,0,0,0,0,3,0,0,2,0,0,0,16,3,393,0,0,0,10,0,1,0,151,0,0,109,0,1405,118,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,136,0,0,4,1,0,0,2,0,1,56,0,12,331,34,0,0,4,0,3,0,5,21,1,1,2,97,2,0,0,0
"M583",0,0,28,0,0,0,0,0,0,0,15,2,22,0,136,0,1,0,0,44,0,215,0,1,0,0,1,292,0,1,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,357,0,0,0,0,1,0,0,40,0,0,2901,0,0,1,270,0,0,2,3,1,2,0,2,0,0,227,1,209,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,74,0,0,1,0,0,0,0,0,0,14,0,13,179,4,0,0,4,0,2,0,5,4,0,2,0,28,0,0,0,0
"M584",0,0,67,0,0,0,0,0,0,1,4,0,19,0,0,0,0,0,0,11,0,547,0,0,4,0,2,25,12,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,305,0,0,0,0,8,0,0,0,14,0,0,0,0,4,1413,0,0,0,52,2,2,0,0,0,8,0,0,299,283,0,0,0,0,0,0,6,0,1,0,0,0,1,8,0,209,0,0,0,2,0,0,0,0,0,593,0,38,337,42,0,0,62,0,0,1,0,1,1,2,8,279,0,0,0,1
"M585",0,0,0,1,0,0,0,0,0,0,51,0,9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,24,1,0,0,0,4,0,0,0,0,2,1,0,0,0,205,0,0,0,43,0,0,2,0,2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,201,0,0,15,3,0,0,0,0,0,0,0,0,0,0,1,425,3,0,0,0
"M586",0,0,0,0,0,0,0,0,0,0,167,0,16,0,325,0,0,0,3,2,0,15,0,0,0,0,0,9,0,2,0,4,0,0,0,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,70,2,3,0,0,0,8,0,0,3628,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,26,0,0,35,2,0,0,6,7,0,0,0,12,0,4,0,112,6,0,0,0
"M588",0,4,15,0,0,0,0,0,0,0,55,0,41,0,0,1,0,0,0,2,0,123,0,0,0,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,149,0,0,0,0,10,4,0,0,8,0,0,0,6,0,1519,0,0,0,33,0,0,1,0,0,0,4,0,92,22,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,548,0,0,0,0,0,3,0,0,0,857,0,104,42,14,0,0,0,0,1,0,2,32,0,1,12,169,3,0,0,2
"M59",0,0,89,0,0,0,0,0,0,0,119,0,63,0,435,0,0,0,0,100,0,163,2,0,0,3,0,118,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,447,5,0,0,0,0,0,0,0,5,0,1,0,0,3,21,0,0,4,48,1,26,0,46,0,81,54,0,74,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,181,0,0,647,136,0,0,74,0,0,2,3,6,0,1,51,252,6,0,0,0
"M590",0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,2,1,148,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2620,0,0,0,1,0,0,0,0,2,0,0,0,0,5,126,0,0,0,4,1,0,0,0,0,15,36,0,95,1,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,25,0,0,1,0,0,1,0,0,1,14,0,5,116,15,0,0,0,0,0,0,0,4,0,0,39,228,0,0,0,0
"M592",0,0,0,0,0,0,0,0,0,0,1702,0,4,0,395,0,0,0,0,69,0,1,0,0,0,0,0,512,0,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,0,12,0,0,0,1,0,0,225,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,49,7,0,0,0,0,0,0,0,1,0,6,0,244,38,0,0,0
"M594",0,0,0,0,0,0,0,0,1,0,86,0,10,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,0,1,7,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,3229,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,23,0,0,0,34,5,0,0,0
"M599",0,53,0,0,0,0,0,0,0,0,20,8,13,0,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,390,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,5473,0,0,0,0,0,0,0,0,0,18,0,0,17,0,0,0,5,0,0,0,0,0,119,0,0,0,59,0,0,0,85,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,58,0,0,0,2,37,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,11
"M6",0,0,164,0,0,0,0,0,0,0,1,0,112,0,0,0,0,0,3,44,0,250,3,0,0,3,16,22,4,0,30,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,488,0,0,0,5,0,1,4,0,34,0,0,0,0,7,10,0,0,43,567,0,1,0,380,0,33,32,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,805,0,0,678,145,0,0,1,12,0,1,2,10,0,1,2,719,0,1,0,1
"M60",0,0,70,0,1,0,0,0,0,0,24,0,19,0,3755,0,0,0,1,7,0,49,1,0,0,0,5,33,0,29,2,0,0,0,0,0,7,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,13,0,0,0,0,0,201,0,0,0,1,0,24,0,31,0,0,3,0,1606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,15,0,5,50,10,0,0,16,0,0,0,0,9,0,2,23,36,3,0,0,0
"M600",0,9,1,0,0,0,0,0,0,0,49,0,8,6,17,0,0,0,7,1,0,114,0,0,0,0,0,25,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,61,1,0,0,1,3,0,0,0,3,0,0,0,0,5,330,0,0,14,251,0,1,0,0,0,1,7,0,1742,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,3,0,0,2,2,0,0,141,0,12,33,6,0,0,4,10,0,0,0,41,0,2,1,332,3,0,0,0
"M601",0,6,135,0,0,0,0,0,0,0,17,0,80,0,2,0,0,0,3,2,0,3350,0,0,4,2,0,18,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,47,0,0,0,3,2,0,0,0,26,0,0,0,0,1,395,0,0,1,18,0,0,0,0,0,1,14,0,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,7,0,0,1,0,0,0,104,0,11,40,27,0,0,1,0,0,0,2,206,0,0,1,151,8,1,0,0
"M603",0,1,0,0,0,0,0,0,0,0,1,0,14,0,124,0,0,0,1,2,0,94,1,0,0,0,0,6,1,0,6,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,182,0,0,0,1,1,0,8,0,12,0,0,0,7,0,0,0,0,0,73,0,1,0,0,0,5,0,0,232,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,114,0,0,78,22,0,0,8,0,0,0,0,10,0,1,19,186,0,0,0,0
"M605",0,0,110,0,0,0,0,0,0,0,5,1,38,0,0,0,0,0,10,0,0,2050,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,25,0,9,0,0,0,40,0,9,0,0,118,0,4,0,0,12,1085,0,0,0,150,1,0,0,0,0,0,0,0,534,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,246,0,0,2,0,0,0,0,0,0,1214,0,7,17,19,0,0,2,0,0,0,0,101,0,7,4,3152,0,0,0,0
