"","Bacillus","Klebsiella","Erysipelotrichaceae_incertae_sedis","Varibaculum","Ureibacillus","Eubacterium","Acidovorax","Porphyromonadaceae_unclassified","Parvimonas","Clostridium_IV","Lactobacillales_unclassified","Haemophilus","Firmicutes_unclassified","Peptostreptococcus","Bifidobacterium","Burkholderiales_unclassified","Lactobacillaceae_unclassified","Methylobacteriaceae_unclassified","Rothia","Coriobacteriaceae_unclassified","Lysinibacillus","Faecalibacterium","Gemmiger","Sphingomonadaceae_unclassified","Brachyspira","Clostridia_unclassified","Actinomycetales_unclassified","Collinsella","Flavonifractor","Bifidobacteriaceae_unclassified","Slackia","Bacillales_unclassified","Butyricimonas","Peptoniphilus","Aneurinibacillus","Lactobacillus","Streptococcaceae_unclassified","Pelomonas","Anaerococcus","Leuconostoc","Methylocystis","Spirochaetaceae_unclassified","Bacillaceae_2_unclassified","Turicibacter","Clostridium_XlVa","Paenibacillus","Treponema","Brevibacillus","Atopobium","Clostridium_XlVb","Veillonella","Succinivibrio","Ruminococcaceae_unclassified","Mitsuokella","Microbacteriaceae_unclassified","Sutterella","Clostridium_XVIII","Escherichia_Shigella","Sarcina","Eggerthella","Cetobacterium","Lachnospiracea_incertae_sedis","Burkholderiales_incertae_sedis_unclassified","Fusobacteriaceae_unclassified","Clostridium_sensu_stricto","Akkermansia","Roseburia","Prevotellaceae_unclassified","Barnesiella","Megasphaera","Weissella","Dorea","Mogibacterium","Actinobacteria_unclassified","Enterococcaceae_unclassified","Catenibacterium","unknown_unclassified","Ruminococcus","Dialister","Alphaproteobacteria_unclassified","Streptococcus","Bacteroidetes_unclassified","Howardella","Megamonas","Enterobacteriaceae_unclassified","Butyrivibrio","Anaerobacter","Desulfovibrio","Enterococcus","Odoribacter","Campylobacter","Subdoligranulum","Pseudomonas","Cloacibacterium","Lactococcus","Bacteroides","Pseudoflavonifractor","Prevotella","Comamonas","Eubacteriaceae_unclassified","Granulicatella","Peptostreptococcaceae_unclassified","Streptophyta_unclassified","Butyricicoccus","Gemella","Proteobacteria_unclassified","Propionibacteriaceae_unclassified","Blautia","Propionibacterium","Bacteroidales_unclassified","Bacteria_unclassified","Clostridiales_unclassified","Oscillibacter","Comamonadaceae_unclassified","Clostridium_XI","Staphylococcus","Alistipes","TM7_genera_incertae_sedis_unclassified","Veillonellaceae_unclassified","Erysipelotrichaceae_unclassified","Parabacteroides","Actinomyces","Clostridiaceae_1_unclassified","Lachnospiraceae_unclassified","Bacilli_unclassified","Selenomonadales_unclassified","Bacillaceae_1_unclassified","Gammaproteobacteria_unclassified"
"M606",0,0,255,0,0,0,0,0,0,0,23,0,9,0,52,0,0,0,0,4,0,292,1,0,0,1,0,118,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,76,0,0,0,0,0,0,0,0,4,0,0,0,0,6,146,0,0,0,34,0,0,0,0,0,1,1,0,332,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,216,0,26,95,19,0,0,2,1,1,0,0,116,0,2,5,245,1,0,0,0
"M607",0,0,84,0,0,0,0,0,1,0,2,0,5,0,8,0,0,0,0,1,0,78,2,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5862,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,117,0,0,0,8,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95,1,0,0,0,0,0,0,0,0,0,0,8,90,0,0,0,2
"M611",0,0,0,0,0,0,0,0,0,0,20,0,7,0,377,0,0,0,2,52,0,11,0,0,0,0,0,94,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,28,0,3428,0,0,0,0,65,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1018,1,0,0,0,0,0,0,6,0,0,5,0,17,6,0,0,0
"M613",0,0,0,0,0,0,0,0,0,0,7,0,16,0,123,0,0,1,0,13,5,0,0,0,0,1,2,14,0,0,0,9,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,15,0,0,0,0,0,1,1101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,153,8,0,0,0,0,0,0,0,11,0,0,6,733,6,0,0,0
"M614",0,0,18,0,1,0,0,0,0,0,38,1,59,0,391,0,0,0,0,29,0,325,2,0,0,0,1,57,8,8,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3081,40,0,0,1,5,0,0,0,1,0,0,0,0,2,37,2,0,0,25,0,14,0,1,0,0,183,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,0,0,429,0,0,77,50,0,0,7,1,0,0,7,11,0,1,10,92,2,0,0,0
"M616",0,0,0,0,0,0,0,0,3,0,0,0,6,0,1856,0,0,0,0,19,0,43,0,0,0,1,1,56,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,15,0,44,1,0,0,0,0,2,10,0,155,0,0,0,102,0,18,0,0,0,0,3,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,42,0,0,0,0,0,352,0,7,217,9,0,0,645,0,0,2,0,132,0,1,13,105,0,0,0,0
"M617",0,1,0,0,0,0,0,0,0,0,516,1,23,0,241,0,0,0,20,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,52,0,0,1,1,0,0,0,0,0,0,13,0,2122,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,1,37,6,0,0,5,0,0,0,22,0,0,0,40,566,20,0,0,0
"M619",0,0,107,0,0,0,0,0,0,0,156,0,9,0,2011,0,0,0,0,60,0,71,0,0,0,0,0,139,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,272,0,0,0,96,0,29,0,164,0,0,18,0,149,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,47,0,14,218,2,0,0,1,0,1,0,3,0,1,1,0,37,3,0,0,0
"M62",0,0,190,0,0,1,0,0,1,0,2,0,97,0,3,0,0,0,0,6,0,154,0,0,0,0,1,5,4,0,8,6,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,3,458,0,0,0,2,0,120,0,0,3,0,0,0,0,16,57,0,0,50,65,0,1,0,64,0,164,5,0,27,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,26,0,0,0,1,1,0,0,0,0,171,0,1,466,241,0,0,7,2,0,0,0,12,0,2,6,907,0,0,0,0
"M620",0,0,0,0,0,0,0,0,0,0,396,0,13,0,1809,0,0,0,6,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,75,0,0,0,0,28,0,4,0,2,0,0,0,0,0,0,0,0,0,196,0,5,0,0,0,0,1,0,118,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,349,0,1,190,2,0,0,0,0,0,0,0,75,0,6,0,187,33,0,0,0
"M622",4,0,18,3,1,0,0,1,0,0,2018,0,50,0,1021,1,0,0,0,161,0,21,0,0,0,0,0,111,3,12,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,2,0,0,0,0,2,63,14,0,1,234,1,40,0,277,0,28,286,1,2,34,0,0,0,0,0,0,3,1,0,0,0,0,0,1788,0,3,0,0,0,0,0,0,0,0,0,120,0,22,1915,334,0,0,8,0,12,1,13,28,100,5,2,55,59,0,0,0
"M624",0,0,0,0,0,0,0,0,0,0,8,0,33,1,4496,0,0,0,3,45,0,0,0,0,0,0,2,8,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,16,0,31,0,0,0,0,0,96,0,0,0,20,0,68,0,6,0,18,0,0,0,0,0,0,241,2,0,8,1,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,5,373,1,0,0,0,0,0,1,4,0,0,0,0,53,2,0,0,0
"M627",638,0,7,1,0,2,0,0,0,0,0,0,26,9,48,0,0,1,0,5,0,3,1,0,0,0,1,75,0,1,0,30,0,0,82,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,0,0,347,0,0,0,4,191,0,0,0,0,0,0,1,0,2,7,0,0,0,6,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,38,1,0,0,3,0,101,0,3,128,57,0,0,248,0,0,0,0,1,0,2,2,128,1,0,5,1
"M629",0,0,0,0,0,0,0,0,0,0,48,0,27,0,1475,0,0,0,0,201,0,498,0,0,0,0,0,41,0,5,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,487,0,37,0,0,0,0,946,0,0,0,0,0,0,0,0,2,71,0,1,0,2,0,36,0,0,0,0,12,0,6106,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,1,0,30,0,2,301,1,0,1,0,0,0,0,4,0,0,3,0,58,4,0,0,1
"M631",0,0,27,0,0,0,0,0,0,0,111,0,18,0,305,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4724,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0
"M632",0,0,7,0,0,0,0,0,0,0,7,0,3,0,2031,0,0,0,0,196,0,51,0,0,0,0,1,1384,0,19,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,660,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,0,4,0,10,0,70,0,1489,0,0,16,0,26,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,258,30,0,0,12,0,0,1,4,1,0,9,0,39,0,0,0,0
"M634",0,0,9,0,0,0,0,0,0,0,3,0,76,0,27,1,0,0,1,71,0,1099,0,0,7,3,1,22,3,1,5,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,322,0,0,0,0,1,4,0,0,10,0,0,0,0,2,878,0,0,22,19,3,2,0,18,0,19,62,0,103,37,0,0,0,7,7,0,1,0,0,0,0,0,0,2,0,204,0,0,0,1,0,0,0,0,0,79,0,16,471,83,1,0,57,0,0,3,3,4,0,1,486,130,0,0,0,0
"M636",2,0,0,0,0,0,0,0,1,0,22,0,5,0,1316,0,0,0,0,498,0,42,0,1,0,0,1,137,0,13,7,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,48,0,0,0,0,0,0,0,0,0,140,0,9,2,5,0,169,0,0,0,0,16,0,1346,4,0,0,1,0,0,0,1,0,0,0,0,0,0,59,0,4,0,0,0,0,0,0,1,0,0,0,0,13,182,27,0,0,0,0,0,0,5,10,13,3,0,6,3,1,0,0
"M639",0,0,0,0,0,0,0,0,0,0,219,0,11,0,1141,0,0,0,1,1,0,1,0,0,0,0,0,4,0,8,0,0,0,0,0,51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,138,0,0,7,0,0,40,0,0,0,0,0,0,2720,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
"M641",0,0,0,0,0,0,0,0,0,0,1538,0,13,0,0,0,13,0,4,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,1109,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,1960,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,2,1,0,29,0,0,0
"M642",0,0,0,0,0,0,0,0,0,0,9,0,3,1,4827,0,0,0,9,25,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,51,0,4,1,0,0,18,0,0,1,0,0,0,567,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,3,305,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
"M643",0,0,55,0,0,0,0,0,0,0,53,0,1,0,1760,0,0,0,0,143,0,83,0,0,0,0,6,144,0,15,10,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8975,0,0,0,0,0,0,0,0,0,0,0,0,5,116,0,43,0,8,0,0,1,0,15,0,0,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,33,1,0,74,2,0,0,0,0,0,0,0,1,0,0,0,41,2,0,0,7
"M644",4,0,15,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,27,0,142,0,0,0,1,0,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,165,0,0,0,0,0,22,1,0,9,0,0,11,0,6,24,0,0,0,51,0,0,0,0,1,58,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,2,3,2,0,0,0,15,0,0,435,45,3,0,68,0,3,0,0,4,0,1,6,100,0,0,0,0
"M645",0,0,1,0,1,0,0,0,0,0,102,0,3,0,8212,0,0,7,0,1423,0,5,0,0,0,0,10,109,0,25,0,3,0,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,21,7,0,1822,0,0,0,1,12,0,5,0,0,1,2,0,0,0,9,0,1,0,22,4,260,0,1,0,0,1,1,27,0,0,0,0,0,0,0,0,0,0,3,6,1,0,1,0,1,0,1,1,0,0,3,1,0,0,68,0,0,318,17,0,0,2,0,0,0,0,0,0,8,0,155,1,0,0,0
"M646",0,0,0,0,0,0,0,0,0,0,316,0,4,0,4667,0,0,0,12,1,0,0,0,0,0,0,16,0,0,16,0,1,0,0,0,12,3,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1393,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0
"M648",0,0,0,0,0,0,0,0,0,0,23,0,4,0,1345,0,0,1,44,299,0,0,0,2,0,0,21,2,0,2,0,2,0,0,0,9,6,0,0,0,1,0,0,0,3,0,0,0,226,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,28,0,0,69,16,0,0,0,0,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,238,67,0,0,0,101,0,0,0,0,0,130,1,0,0,0,0,0,11,0,0,0,889,0,1,5,0,0,1
"M649",0,0,0,0,0,0,0,0,0,0,2,0,3,0,6931,0,0,0,31,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,933,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0
"M652",0,0,0,0,0,0,0,0,0,0,223,0,1,0,942,0,0,0,0,181,0,37,0,0,0,1,0,668,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,4,0,23,0,1,2,129,0,39,0,0,2,0,3,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,5,0,0,0,31,0,2,68,4,0,0,2,0,0,1,1,1,0,2,0,213,3,0,0,0
"M653",0,0,0,0,0,0,0,0,0,0,4,0,0,0,13652,0,0,0,4,0,0,0,0,0,0,0,6,0,0,73,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,532,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
"M655",1,0,0,0,0,0,0,0,0,0,0,0,3,0,1922,0,0,0,0,57,0,2,0,0,0,0,1,85,0,10,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,36,0,0,0,1087,0,0,0,0,0,0,0,0,0,1078,0,169,0,1,0,25,0,0,0,0,0,0,5,13,0,0,18,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,21,0,4,0,147,151,0,0,0,0,0,0,0,3,0,1,9,0,8,0,0,0,4
"M657",0,0,0,0,0,0,0,0,0,0,11,0,17,0,601,0,0,0,0,49,0,5,0,0,0,0,3,511,0,4,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,7,0,92,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,12,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"M660",0,0,0,0,0,0,0,0,0,0,55,0,12,0,1521,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3426,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3
"M661",0,5,25,0,0,0,0,0,0,0,4,0,39,0,3,1,0,0,0,38,0,554,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,2,314,1,0,0,0,4,10,0,0,95,0,0,0,0,0,381,0,0,0,2,0,2,0,9,0,4,199,0,147,16,0,0,0,4,1,0,25,0,0,0,0,0,0,46,0,78,1,0,0,1,1,0,0,0,0,30,0,45,83,42,0,0,24,0,0,0,6,1,0,0,9,104,0,0,0,1
"M662",0,0,0,0,0,0,0,0,0,0,8,0,1,0,5649,0,0,0,1,212,0,0,0,0,0,0,1,37,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,51,0,0,1,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,358,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
"M663",0,0,0,0,0,0,0,0,0,0,30,0,37,0,36,0,0,0,2,0,4,7,0,0,0,0,0,6,0,0,0,31,0,0,0,67,8,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,36,0,0,2,0,0,0,0,1,0,3719,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,47,0,0,0,0,5,0,0,0,1,0,0,2,13,8,0,0,0
"M664",0,0,0,0,0,0,0,0,0,0,1,0,3,0,1258,0,0,0,0,810,0,32,0,0,0,0,0,593,7,9,0,1,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,157,0,0,0,1,0,26,3,0,0,0,0,0,22,1,52,0,0,0,9,0,34,0,234,0,0,17,0,31,0,0,0,0,0,0,0,51,0,0,0,1,0,0,32,0,11,0,1,0,0,0,0,0,0,0,80,0,1,57,0,0,0,2,0,0,0,3,0,3,0,2,11,1,0,0,0
"M665",0,1,0,0,0,0,0,0,0,0,2,0,1,0,580,0,0,0,0,33,38,0,0,0,0,0,0,29,0,7,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,2,3107,0,0,0,0,0,0,16,0,0,0,0,6,0,8,0,24,0,0,0,0,0,0,58,0,0,0,40,0,0,0,2,0,0,0,0,0,0,9,0,0,0,94,0,0,0,1,2,44,0,0,0,0,42,2,0,0,0,0,0,0,0,0,3,2,0,6,0,0,1,9
"M666",0,2,0,0,0,0,0,0,0,0,29,0,21,0,282,0,0,0,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5611,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"M667",0,0,0,0,0,0,0,0,0,0,333,0,7,0,404,0,0,0,2,13,0,22,0,0,0,0,0,33,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,102,0,15,0,135,0,0,0,0,8,0,1503,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,32,0,1,47,2,0,0,0,0,0,0,3,0,0,3,0,12,10,0,0,0
"M669",0,0,0,0,3,0,0,0,0,0,19,0,1,0,630,0,0,0,5,28,0,0,0,0,0,1,0,355,0,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,28,0,999,7,0,0,0,1,0,418,0,0,6,0,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,260,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0
"M670",0,4,154,0,2,0,14,0,0,0,33,1,125,1,306,1,0,0,2,62,0,1001,0,1,5,0,5,153,6,0,39,1,0,0,0,10,4,0,0,0,0,10,0,9,0,0,1,0,0,0,88,14,319,0,0,0,4,203,15,1,0,97,18,0,9,1,14,534,0,0,18,183,0,12,0,187,0,106,89,0,813,29,0,2,4,7,1,0,34,0,3,0,13,13,0,30,0,178,0,0,0,1,0,1,2,3,0,608,13,22,392,137,0,41,158,1,1,2,1,74,1,9,173,874,0,0,0,0
"M671",0,1,0,0,0,0,0,0,0,0,4,0,1,0,2844,0,0,0,2,72,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,133,0,0,0,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"M672",0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,21,0,5,0,1,0,0,1,6,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,37,0,0,0,0,1,6,58,0,0,0,0,75,4,0,3,0,0,0,0,0,4,0,5,0,3,0,0,0,4,0,0,0,0,1,0,12,0,0,0,1,0,0,2,1,0,0,0,0,18,2,0,0,0,0,2,0,0,75,2401,0,0,233,0,0,0,0,0,0,2,33,3,0,0,0,0
"M673",0,397,0,0,0,0,0,0,0,0,17,0,3,0,2468,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,19,0,0,0,26,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,20
"M674",0,0,0,0,0,0,0,0,0,0,8,0,17,0,4822,0,0,0,17,31,0,0,0,0,0,0,11,16,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,115,0,10,0,13,0,0,0,0,0,0,339,15,0,0,0,0,0,0,49,0,0,0,0,0,0,562,0,0,0,1,7,0,0,0,2,0,0,0,0,6,604,1,0,0,0,0,0,0,41,8,0,10,0,71,0,0,0,0
"M675",0,0,0,0,0,0,0,0,0,0,2,0,4,0,5451,0,0,0,1,84,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
"M676",0,23,1,0,0,0,0,0,0,0,4,0,5,0,1499,0,0,0,1,428,0,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,43,0,5,0,0,0,0,1563,3,3,0,0,0,0,0,0,0,1,0,0,0,2,1,7,0,0,2,0,0,0,789,0,0,0,24,0,0,0,0,0,0,0,0,0,0,58,0,1,0,17,0,0,0,0,2,33,0,0,0,0,127,0,0,0,4,0,0,0,0,0,0,53,1,3,1,0,0,2
"M678",0,0,0,0,0,0,0,0,0,0,6,0,2,0,4583,1,0,0,4,49,0,0,0,0,0,0,1,24,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,0,0,0,0,0,0,417,0,0,0,1,0,0,0,19,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
