"","C3016.1","C3002.1","H4044.1","C3004.1","M2034.1","M2061.1","H4042.1","H4035.1","C3034.1","H4014.1","C3006.1","H4023.1","H4019.1","C3017.1","C3030.1","H4007.24","P6009.1","P6005.1","H4001.1","H4008.1","C3023.1","H4018.1","H4004.1","H4010.1","M2039.1","H4022.1","C3022.1","M2028.1","M2008.22","C3015.1","H4031.1","P6012.1","C3003.1","M2064.1","M2068.1","M2041.1","C3027.1","M2075.1","P6018.1","H4004.24","M2084.1","M2028.24","M2025.1","M2047.1","H4006.1","C3005.1","C3029.1"
"5.2.1.8",16,0,38,1,11,17,6,9,1,3,4,0,29,3,18,16,2,6,3,1,13,1,2,1,5,29,18,6,16,3,3,3,4,10,11,1,15,7,18,3,63,13,11,30,3,9,49
"5.3.1.1",9,17,18,14,4,24,43,8,9,10,4,34,24,29,8,16,16,24,12,0,30,3,14,12,14,17,24,15,14,20,4,19,3,52,1,22,15,6,7,1,19,23,19,27,1,10,27
"5.3.1.12",0,20,8,27,16,6,13,0,10,6,9,21,2,22,1,1,17,15,8,0,8,0,6,15,11,12,9,17,9,5,0,25,0,8,3,31,1,0,3,0,1,30,8,1,0,2,12
"5.3.1.25",1,11,3,8,11,4,15,0,6,3,12,46,3,11,10,1,37,16,7,0,9,8,15,2,13,5,20,8,0,5,0,12,1,10,0,10,2,0,15,0,0,15,8,1,0,4,12
"5.3.1.5",0,15,56,28,2,9,5,1,16,26,18,39,9,23,4,9,13,29,10,0,23,0,6,18,17,20,23,23,35,30,0,0,8,16,14,64,6,0,0,0,14,44,18,8,0,5,23
"5.3.1.9",13,0,24,1,2,18,33,4,6,4,12,15,27,9,3,11,8,12,5,1,14,0,1,3,13,14,19,9,15,4,5,23,8,18,2,4,8,3,2,0,32,25,12,25,1,3,35
"5.4.2.12",11,1,12,1,1,9,10,2,1,6,7,9,7,4,1,6,9,3,0,1,4,1,3,7,10,7,14,9,7,7,0,7,3,10,2,2,0,1,3,0,19,7,8,10,0,6,19
"6.3.2.6",18,0,22,1,0,27,8,2,3,8,3,3,14,0,1,7,0,7,0,1,10,0,0,1,8,6,5,6,23,3,0,1,4,23,1,0,17,1,3,0,23,11,15,30,0,4,13
"6.3.4.4",17,0,18,2,4,22,10,8,2,4,11,7,16,3,6,21,1,3,1,2,25,1,1,0,13,21,22,15,8,8,1,4,7,23,4,0,10,5,5,2,44,15,14,22,0,6,30
"6.3.5.5",11,0,9,0,1,16,8,2,0,1,5,2,8,1,1,5,0,4,1,1,8,0,1,0,5,9,7,2,2,2,0,1,3,7,0,0,13,3,1,0,18,6,7,22,0,2,4
