"","Otu000001","Otu000002","Otu000003","Otu000004","Otu000005","Otu000006","Otu000007","Otu000008","Otu000009","Otu000010","Otu000011","Otu000012","Otu000013","Otu000014","Otu000015","Otu000016","Otu000017","Otu000018","Otu000019","Otu000020","Otu000021","Otu000022","Otu000023","Otu000024","Otu000026","Otu000027","Otu000028","Otu000029","Otu000030","Otu000031","Otu000032","Otu000033","Otu000035","Otu000036","Otu000037","Otu000038","Otu000039","Otu000040","Otu000042","Otu000044","Otu000045","Otu000046","Otu000047","Otu000049","Otu000050","Otu000051","Otu000052","Otu000058","Otu000060","Otu000061","Otu000062","Otu000063","Otu000064","Otu000065","Otu000066","Otu000068","Otu000070","Otu000074","Otu000075","Otu000077","Otu000080","Otu000081","Otu000082","Otu000084","Otu000086","Otu000087","Otu000088","Otu000092","Otu000094","Otu000095","Otu000097","Otu000098","Otu000102","Otu000103","Otu000107","Otu000112","Otu000113","Otu000114","Otu000115","Otu000117","Otu000118","Otu000119","Otu000122","Otu000125","Otu000126","Otu000132","Otu000133","Otu000138","Otu000140","Otu000142","Otu000143","Otu000145","Otu000146","Otu000150","Otu000152","Otu000160","Otu000162","Otu000164","Otu000166","Otu000168","Otu000176","Otu000177","Otu000179","Otu000181","Otu000190","Otu000203","Otu000216","Otu000218","Otu000235","Otu000238","Otu000250","Otu000322","Otu000057","Otu000105","Otu000264","Otu000281","Otu000310"
"410",1558,866,161,191,764,294,63,470,377,691,1,37,518,0,1,420,538,0,159,64,108,123,164,4,1,1,22,2,0,0,1,0,0,79,0,0,0,0,0,1,8,238,0,52,2,0,0,0,0,240,28,11,7,0,1,0,40,8,587,2,0,0,0,1,24,71,0,4,0,0,1,4,21,32,44,8,15,31,11,6,0,19,8,0,0,0,7,7,37,31,2,8,13,5,4,0,0,0,8,0,2,12,1,2,0,4,9,1,2,0,0,2,0,0,8,0,0
"411",19,403,286,168,22,59,187,14,0,11,303,472,23,6,169,1,249,1,84,1,67,8,212,137,27,2,487,13,102,7,2,242,148,5,2,4,63,53,0,5,132,21,1,52,0,0,12,0,0,1,1,158,135,2,0,2,8,0,1,2,7,0,35,0,26,0,29,21,1,0,12,51,6,0,0,0,0,17,6,1,0,1,8,0,1,165,16,0,4,2,18,1,5,0,0,3,0,0,2,0,1,2,1,15,4,8,2,11,1,0,1,0,0,78,4,0,0
"412",771,1434,332,0,641,254,309,216,1,0,0,12,0,332,13,27,0,0,2,3,0,0,0,0,0,20,148,668,0,0,32,0,0,1461,26,10,0,0,20,0,107,344,0,0,37,68,0,0,0,0,64,0,1,0,16,0,102,2,0,0,2,0,840,0,1,36,0,0,0,0,49,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,6,149,0,0,0,0,0,1,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413",77,3176,10,1865,434,57,14,31,2,154,6,9,35,20,21,2,7,7,6,32,2,1,431,10,2,2,30,6,7,3,126,511,3,5,1,1,2,1,81,34,7,10,14,2,24,1201,0,3,0,0,0,0,0,0,14,0,0,91,0,6,1,3,0,0,0,36,1,1,2,3,14,67,1,0,67,0,0,2,130,50,2,10,8,0,101,0,3,43,24,0,8,9,0,1,17,19,3,0,19,0,0,131,2,0,0,1,0,0,0,1,0,1,2,0,0,0,0
"414",2064,440,561,127,10,914,230,806,198,525,18,1,118,11,44,2,1,15,1,10,1,1,40,4,1,39,241,0,5,9,510,4,17,106,1,160,0,8,0,1,2,35,18,108,255,14,9,0,0,0,136,1,0,0,260,51,82,2,0,1,0,12,0,1,0,152,1,0,26,1,432,0,6,14,56,20,18,0,1,0,0,5,0,0,2,0,4,22,0,0,1,6,0,5,0,1,24,0,0,0,0,19,2,0,0,0,0,0,0,0,0,4,0,0,7,18,3
"415",338,2575,2,1,148,97,1,4,435,300,360,256,161,91,4,56,0,1546,0,139,71,9,0,169,0,1,4,2,0,145,22,0,830,3,107,0,55,0,16,218,17,74,17,1,5,0,12,0,6,15,0,133,0,144,5,11,0,8,0,12,1,4,2,10,5,3,10,1,0,42,54,0,0,2,1,0,0,6,18,3,15,8,0,6,0,0,4,4,3,0,6,3,5,6,64,0,3,15,2,8,2,23,10,1,1,7,0,1,0,19,0,2,0,1,0,0,0
"416",851,441,1101,20,1051,912,235,147,259,4,439,71,105,250,1,262,217,56,102,21,180,107,0,15,56,15,65,72,14,2,2,0,142,14,1,128,0,0,2,41,56,52,5,11,1,0,0,0,27,43,44,5,7,95,3,18,3,2,0,9,60,12,99,17,68,1,0,0,0,3,1,0,17,37,3,77,27,7,1,6,1,17,27,16,3,0,1,7,2,12,3,11,8,19,0,0,2,7,2,3,4,3,0,15,0,23,15,1,7,4,3,7,0,0,0,0,0
"417",150,332,499,963,149,593,562,106,218,119,123,190,117,228,43,178,319,0,0,2,186,202,651,196,53,0,2,2,10,2,1,335,59,2,107,44,0,321,4,36,113,0,153,78,0,240,209,2,13,10,27,119,240,22,0,17,69,1,30,71,2,0,0,0,137,0,75,0,0,28,0,3,7,7,1,12,0,9,33,0,4,5,34,0,91,9,0,0,0,2,30,0,4,5,1,73,1,3,0,0,3,0,1,2,3,0,0,8,9,2,2,1,0,13,0,0,0
"418",488,95,382,1338,130,330,217,121,275,222,494,96,195,170,103,200,77,0,145,60,315,106,0,113,36,34,3,246,25,0,0,39,0,10,194,164,0,0,6,47,13,13,29,7,0,0,37,0,2,132,51,23,182,107,0,5,0,4,0,9,0,0,11,12,0,28,6,0,12,0,0,11,26,10,0,2,23,4,12,5,0,3,5,6,0,18,1,0,6,51,9,0,9,13,0,8,3,2,1,7,14,1,5,3,0,0,6,2,2,10,3,0,96,0,0,0,0
"419",1515,340,311,1019,521,423,269,306,356,230,0,152,227,194,233,34,0,9,146,79,301,191,126,17,142,53,10,27,695,8,20,8,47,0,51,46,136,190,3,7,2,0,12,9,0,0,22,1,33,0,29,6,0,0,1,21,8,5,0,0,30,55,0,10,0,0,5,0,167,0,0,0,24,3,2,0,15,1,19,5,0,2,5,0,23,0,1,2,1,21,0,4,9,4,9,1,0,1,0,2,0,5,3,0,0,0,12,0,0,1,5,0,0,0,0,0,0
"420",689,83,121,108,13,121,527,762,152,121,1,73,115,331,1,277,100,61,228,34,0,1,8,96,77,4,8,127,60,22,10,39,43,175,0,12,1,138,2,108,33,233,42,20,336,4,12,0,0,51,84,23,52,389,0,3,0,3,7,1,28,0,0,52,0,0,35,0,1,0,36,4,1,1,204,1,79,21,5,4,1,3,2,0,14,14,3,1,9,0,2,7,2,0,49,0,0,3,3,36,4,0,5,6,0,2,0,3,1,8,12,1,0,0,0,0,0
"421",289,282,181,3,453,438,130,90,238,218,91,63,35,170,0,330,391,125,24,44,34,31,0,61,148,1,68,64,5,0,3,3,408,4,1,45,75,177,0,8,1,2,334,32,45,20,50,0,31,1,22,23,0,62,0,6,23,9,14,20,77,0,3,11,89,0,2,0,1,8,15,2,23,0,2,20,23,15,15,1,18,2,9,12,29,0,0,2,0,5,3,7,7,10,1,2,0,1,5,1,0,5,0,0,0,0,2,2,1,2,4,0,0,0,0,0,0
"422",233,186,284,7,721,811,987,110,84,184,204,29,292,183,135,149,91,44,123,11,273,109,353,15,83,138,2,38,61,5,1,233,189,9,72,28,15,0,11,26,9,1,50,5,0,63,60,28,52,9,30,9,0,55,8,15,32,4,5,2,38,12,0,2,31,0,70,1,66,3,0,16,20,10,0,4,0,16,0,1,8,2,1,6,0,15,0,1,0,3,15,0,13,13,0,7,0,1,1,3,14,2,13,0,0,0,1,7,4,2,24,0,0,0,0,0,0
"423",372,53,139,311,1421,214,97,211,200,159,1387,37,103,114,0,160,19,0,95,109,164,433,1,104,102,1,0,6,8,0,1,0,27,0,61,47,0,41,0,237,75,2,86,2,168,0,71,0,23,71,42,2,403,52,0,1,18,1,6,0,0,0,11,10,0,3,24,0,0,5,0,2,22,0,0,2,0,2,6,56,3,7,11,4,3,4,3,0,10,87,0,0,16,32,0,8,0,0,1,4,12,2,0,1,1,8,0,2,3,0,10,1,0,0,0,0,0
"424",279,86,223,13,333,588,72,88,125,105,239,7,260,125,24,170,38,51,7,7,113,105,2,212,115,48,29,333,43,148,0,1,65,4,34,37,276,7,0,63,32,7,75,6,0,0,95,0,21,6,32,5,0,10,5,34,16,1,15,29,34,0,0,9,61,2,8,22,9,0,0,0,1,6,0,20,0,16,56,10,46,8,3,19,0,3,7,0,2,27,15,67,0,0,6,78,0,1,0,0,0,4,0,2,43,1,0,5,6,2,0,1,0,0,0,0,0
"425",244,357,760,7,854,1070,116,530,558,215,202,4,244,521,0,0,30,184,4,37,1,462,334,61,126,2,9,58,1,135,35,16,50,38,314,0,105,0,0,78,31,11,124,143,1,226,1,195,190,59,83,0,0,0,17,17,22,6,0,15,45,0,0,42,0,0,13,0,0,0,0,0,0,10,7,7,4,13,30,0,5,4,8,33,4,0,4,0,0,0,13,21,5,0,0,0,0,2,10,1,2,13,4,0,0,0,0,0,3,0,4,3,0,0,0,0,0
"426",1926,7,9,7,141,328,3,319,502,775,384,1,184,446,11,1358,0,0,109,40,143,82,2,0,221,1,5,240,2,2,0,0,0,3,523,64,4,2,0,0,0,0,0,0,506,4,0,0,0,9,160,0,0,6,2,7,51,19,51,0,3,0,0,9,0,0,0,0,117,23,0,5,13,2,0,5,0,6,2,0,0,1,0,17,0,0,0,0,0,6,0,22,12,6,0,0,4,0,0,0,6,0,17,0,0,0,1,0,1,0,0,2,0,0,0,0,0
"427",120,1603,1083,23,430,711,742,144,124,178,1,283,66,100,240,149,464,1,95,104,28,38,2,100,68,90,24,252,364,1,13,63,196,1,188,58,32,110,50,13,85,6,29,136,0,1,27,1,3,7,11,63,1,4,1,8,25,2,21,69,16,4,1,2,0,1,24,6,24,9,5,18,26,13,0,19,0,7,42,1,76,22,3,3,61,36,50,7,0,1,5,2,8,9,6,25,1,8,3,3,12,10,6,14,17,0,0,7,5,2,2,2,0,0,0,0,0
"428",501,211,82,156,321,220,271,792,441,379,254,108,171,168,46,166,395,0,67,23,27,140,0,11,130,2,3,161,136,0,0,25,28,0,223,127,0,0,0,3,10,0,36,0,0,131,17,1,5,21,16,37,62,51,0,22,43,4,91,5,42,0,1,7,25,3,10,4,38,78,0,4,33,0,0,0,0,2,2,4,1,2,2,33,7,19,1,0,0,27,4,6,0,0,2,0,0,0,0,0,6,2,1,1,0,1,1,1,2,7,6,0,0,0,0,0,0
"429",849,214,64,23,248,905,590,217,54,165,0,30,118,483,105,0,68,327,21,711,2,74,0,0,182,2,186,149,1,0,4,0,1,7,0,0,0,0,15,5,20,30,1,1,116,0,0,11,21,257,14,0,0,0,13,46,1,75,93,6,2,0,56,3,25,3,0,0,0,0,1,0,21,10,0,115,0,4,12,57,0,14,23,3,0,0,0,2,0,0,1,10,0,0,11,0,2,2,0,0,0,4,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0
"430",220,215,177,475,86,251,244,318,155,79,46,462,84,51,3,206,59,14,58,2,115,120,156,20,61,28,1,72,17,10,1,1,120,3,26,24,0,110,1,6,1,4,8,30,106,51,21,0,14,8,10,22,122,12,0,0,26,0,20,3,8,12,0,19,13,10,12,1,1,28,0,4,13,4,13,0,0,0,13,4,0,0,0,2,9,8,0,0,0,34,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,4,7,1,0,1,57,0,0,0,0
"431",173,47,27,2730,34,14,30,169,151,98,1034,51,117,56,0,267,1,12,362,24,270,316,2,609,19,11,50,29,0,6,0,0,10,1,70,15,105,2,0,76,1,27,10,3,1,22,35,0,0,4,49,8,3,21,0,6,12,1,62,0,0,8,1,11,18,11,35,0,8,16,1,0,24,0,30,2,36,0,44,2,4,6,1,2,0,5,4,0,5,10,3,1,8,27,11,0,0,0,0,0,2,0,1,1,1,2,3,0,0,2,0,1,0,0,0,0,0
"432",332,345,255,842,321,522,450,167,83,392,278,226,13,38,401,103,520,5,415,438,12,12,133,7,119,61,14,10,52,3,20,67,266,52,5,32,6,1,78,75,5,16,18,8,34,123,4,5,38,0,16,3,54,0,17,21,4,69,0,20,29,6,7,1,2,0,12,0,1,1,7,6,41,2,17,2,0,6,5,33,10,6,11,50,0,1,72,9,46,22,0,14,0,1,54,3,34,1,4,93,12,7,8,5,59,1,0,9,1,0,0,0,0,0,0,0,0
"433",194,56,54,396,450,451,45,124,115,60,253,47,117,66,51,76,73,59,160,51,96,59,1,95,100,3,11,84,5,94,3,94,14,0,11,28,0,45,1,2,9,15,5,21,47,34,60,0,2,3,16,18,12,48,1,18,15,2,16,9,163,0,0,2,16,0,8,0,67,24,0,11,32,36,0,8,0,1,7,0,52,4,3,9,11,25,5,1,1,14,1,0,0,0,0,14,0,0,3,0,2,0,0,3,0,0,2,1,7,2,0,0,268,0,0,0,0
"434",500,124,179,877,678,359,129,409,82,283,587,190,118,271,339,194,5,0,341,139,150,450,145,50,222,165,1,1024,24,1,0,1,0,2,112,93,37,1,0,1,6,2,12,0,0,0,2,1,1,26,50,22,0,18,2,27,1,52,32,0,3,0,29,5,32,0,3,8,40,14,2,0,19,1,0,0,42,5,17,0,0,6,0,13,0,15,1,0,1,7,87,0,23,8,0,1,5,0,0,1,6,0,9,6,2,2,6,1,0,6,5,1,1,1,0,0,0
"435",822,1528,1191,2,524,107,23,307,391,227,10,101,67,148,0,238,713,640,0,18,73,59,83,3,191,36,322,11,42,49,24,132,61,4,1,71,8,9,1,0,31,63,12,136,2,18,57,5,3,0,47,47,0,0,11,51,3,6,134,6,193,33,0,3,5,0,2,0,2,0,0,0,2,69,66,1,1,17,0,69,5,14,68,3,11,0,2,3,0,0,5,16,6,14,10,15,0,1,5,0,0,1,5,0,0,0,0,0,6,0,0,8,0,0,1,0,0
"436",151,1202,575,848,43,100,893,119,8,232,7,864,83,87,12,239,82,945,23,0,188,30,170,235,45,2,133,42,248,2,12,105,342,11,0,19,58,365,3,3,136,1,18,23,2,1,7,0,1,47,12,122,17,3,0,3,0,0,4,11,8,1,22,1,77,0,25,5,4,3,13,6,0,0,12,2,16,18,1,1,1,4,47,0,0,0,7,10,5,0,8,13,11,11,4,3,0,1,8,4,1,4,0,8,13,5,4,0,1,1,0,6,0,1,0,0,0
"437",56,225,709,158,20,96,343,23,100,45,386,92,31,39,144,40,102,1,4,3,307,75,0,540,8,38,40,10,13,3,3,5,1,0,5,8,10,105,20,4,140,34,50,29,7,0,1,2,9,25,4,50,4,1,1,2,4,3,7,0,9,10,24,1,0,3,0,0,5,1,7,57,0,7,11,9,53,15,4,5,0,30,56,0,3,37,16,15,13,0,8,1,0,7,3,1,9,66,27,3,1,4,0,41,39,4,4,7,3,0,1,0,0,4,44,7,6
"438",144,117,110,97,166,500,818,273,49,177,116,224,52,90,246,266,271,1,749,173,63,144,141,505,44,213,4,154,44,170,0,45,43,1,23,67,21,0,12,4,36,77,17,0,33,0,12,2,41,102,9,37,4,30,0,2,4,56,2,1,7,11,0,6,18,0,4,49,4,10,1,21,57,0,1,1,52,83,10,10,1,24,15,16,1,0,2,2,8,0,8,1,23,25,2,0,1,3,7,1,4,1,12,7,25,5,7,0,7,0,10,0,0,0,0,0,0
"439",233,2295,14,43,286,531,307,56,143,132,4,169,259,1,60,128,6,3,0,0,1,0,2,0,1,68,103,3,496,31,21,1672,315,65,6,2,2,1,33,6,2,158,27,120,34,0,98,1,0,0,1,0,0,0,5,0,6,0,0,16,2,22,80,0,1,6,0,0,3,0,251,25,1,4,0,0,12,0,0,62,12,19,0,0,0,0,89,44,40,0,2,11,0,11,1,2,5,28,56,0,3,43,4,0,0,14,0,3,0,1,0,4,1,11,0,42,14
"440",983,51,9,73,475,518,21,496,335,621,0,2,41,202,1373,332,6,0,649,2,88,52,76,2,164,364,9,75,1,235,42,2,4,3,127,153,120,0,460,11,3,9,3,0,0,0,6,0,3,86,14,1,0,21,0,74,11,0,9,0,15,21,0,7,13,0,0,0,0,2,0,0,16,1,0,0,0,1,10,1,0,4,3,5,0,1,0,0,14,9,0,4,15,3,3,2,0,4,1,4,1,0,3,0,0,0,8,0,2,12,1,0,0,0,0,0,0
"441",2479,16,4,1,545,106,0,237,564,563,0,2,182,229,1,231,0,0,1398,524,0,116,8,23,412,204,8,3,0,38,80,0,1,184,0,574,60,0,36,0,5,10,0,0,73,0,0,0,68,1,42,0,0,0,0,14,16,6,33,0,1,4,1,3,0,107,0,0,1,0,0,0,83,0,3,1,0,0,0,2,0,23,5,19,0,0,1,0,0,0,0,1,51,1,35,2,8,2,1,24,23,0,10,0,0,0,12,0,0,13,2,0,0,0,0,0,0
"442",419,540,1298,1,232,404,696,407,535,325,0,111,106,57,273,142,0,0,0,6,116,42,0,135,72,8,106,71,1979,15,8,0,0,31,29,103,20,0,43,0,29,45,29,7,84,0,7,0,5,4,22,12,0,69,0,6,10,1,44,1,0,10,0,8,141,1,9,58,0,0,2,0,0,6,3,0,22,27,3,9,4,9,17,14,0,0,26,5,2,4,10,1,27,0,14,0,18,3,7,0,2,18,3,6,7,0,4,3,2,1,2,0,0,3,1,0,0
"443",2227,19,20,42,63,1438,29,512,807,592,24,10,157,1,286,1,14,1,0,103,0,261,0,36,67,4,4,153,7,854,33,0,0,14,457,1,103,25,0,9,1,4,12,4,5,0,68,4,59,107,36,2,11,70,4,61,67,29,0,5,24,0,1,0,3,2,3,0,1,70,0,3,36,8,60,0,0,0,2,12,0,4,1,1,0,0,2,0,5,0,0,4,10,6,0,0,1,0,0,0,1,0,5,1,0,0,1,2,0,10,3,1,0,0,0,0,0
"444",2869,9,2,15,882,15,7,284,479,593,1500,3,457,231,1,0,0,1,245,100,91,45,9,5,0,4,18,4,0,3,49,1,0,38,165,121,0,1,2,9,20,279,1,0,451,0,1,0,40,0,18,3,0,0,0,63,22,29,0,0,0,0,0,16,0,248,0,0,14,2,0,0,0,0,9,0,18,0,1,0,0,2,17,0,0,0,0,0,5,0,0,9,8,0,0,0,5,4,0,0,23,0,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"445",1483,428,262,2,1305,951,304,262,310,243,1,15,117,57,102,108,32,0,0,18,282,88,0,129,0,58,75,0,1,3,86,0,16,39,0,0,0,24,10,123,158,77,17,6,3,48,2,0,5,0,0,9,1,0,5,186,61,40,0,0,119,0,1,0,0,90,0,0,1,0,50,0,7,31,6,3,0,0,71,11,0,9,0,0,0,0,8,14,8,0,0,37,16,30,0,21,2,6,2,8,0,22,1,1,0,15,4,0,2,10,0,2,0,0,0,7,0
"446",3,1945,256,1,18,8,535,0,24,1,0,116,0,0,117,0,39,1336,34,0,0,0,67,150,0,10,77,7,635,9,141,21,48,25,1,0,0,54,3,1,580,788,23,13,12,0,1,0,0,0,0,216,0,1,0,0,7,0,0,7,0,0,55,0,0,1,0,9,0,0,0,60,0,1,18,0,17,18,0,1,0,18,1,1,18,18,14,12,0,0,0,8,1,1,0,5,1,16,9,307,0,2,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0
"447",598,733,457,17,119,0,1592,2,7,505,1,207,139,1085,102,171,209,0,161,9,36,1,602,122,0,45,23,0,52,0,182,232,30,81,0,62,0,0,6,0,68,251,7,48,41,1,0,0,11,0,41,18,0,0,4,0,162,3,0,0,1,2,64,0,0,65,0,0,36,0,127,44,3,0,47,8,0,0,54,1,49,12,0,0,19,0,22,22,1,2,0,15,4,8,4,0,5,6,11,2,2,16,0,0,6,0,0,1,1,0,0,8,0,0,0,0,1
"448",1500,1711,762,53,1,447,721,0,2,0,220,150,3,0,29,0,114,9,0,19,0,0,229,0,0,68,15,2,7,1,231,0,679,517,0,5,1,0,3,0,8,391,2,432,36,1,0,0,0,7,0,18,6,0,2,2,5,4,3,0,1,3,0,4,0,10,1,0,1,0,7,32,0,0,235,0,13,2,8,2,0,21,0,0,0,0,6,45,1,0,0,7,0,6,107,1,6,3,129,3,1,7,1,0,0,15,0,3,0,0,3,2,0,0,0,0,0
"449",501,27,16,66,226,440,3,605,791,373,112,46,260,105,244,215,42,0,422,59,9,64,1,18,519,908,12,219,10,751,1,1,4,5,46,28,0,0,48,111,7,0,9,0,0,0,6,1,12,3,68,1,6,19,13,5,25,39,34,8,6,0,0,32,10,0,4,38,97,9,0,0,17,0,1,0,18,0,15,1,0,17,5,19,1,1,0,0,0,21,0,7,26,0,0,0,0,0,0,1,0,0,1,1,2,0,6,0,0,7,3,0,0,0,0,0,0
"450",321,236,309,31,285,219,119,544,161,157,341,71,97,84,75,142,306,0,1,1,33,24,594,12,138,3,3,42,79,0,1,0,452,1,80,21,3,191,4,5,6,34,13,59,29,72,47,0,5,3,23,17,0,0,2,42,22,2,36,37,57,0,29,8,7,0,0,25,31,0,0,19,11,25,0,59,2,1,14,0,0,1,0,20,12,0,1,0,2,5,2,4,0,3,0,5,0,0,0,0,1,1,0,1,1,1,0,0,6,0,0,7,0,0,0,0,0
"451",2617,150,227,9,6,36,132,500,573,10,242,2,7,12,7,3,15,20,0,2809,7,3,150,0,1,58,500,3,6,13,832,5,5,107,0,0,0,1,58,0,5,0,3,4,54,5,0,78,0,0,0,1,1,2,6,0,5,32,0,2,0,4,0,0,1,4,0,0,0,0,56,0,0,0,68,0,0,1,0,0,1,29,0,1,0,0,0,1,0,0,0,85,0,0,0,0,22,0,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452",306,1413,1436,1133,366,129,185,209,131,127,178,637,52,159,38,137,2,0,281,85,35,0,0,0,34,58,1,0,0,1,24,161,104,48,0,279,0,0,0,33,51,132,10,0,67,1,47,0,10,0,0,65,0,0,0,34,50,8,0,71,3,3,0,16,0,41,0,110,0,0,2,0,0,0,1,22,0,0,0,0,0,7,0,0,0,0,25,7,9,0,0,0,3,17,0,0,0,0,2,0,5,22,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0
"453",3130,3,9,3,8,127,3,1,864,1758,1,0,199,728,210,302,1,10,648,26,516,332,8,0,1,1,18,38,0,1,2,0,0,55,0,0,0,0,0,0,8,43,0,0,13,1,1,1,2,4,111,0,3,0,1,1,25,11,16,0,0,1,5,6,0,24,0,0,0,0,7,0,25,0,36,7,2,6,0,8,0,3,1,0,0,0,0,0,0,0,0,15,9,6,5,0,22,1,1,1,13,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"454",228,169,175,1035,158,422,201,45,431,282,431,245,49,58,25,155,222,0,7,4,150,220,0,308,152,1,15,210,6,0,1,1,200,7,186,99,20,39,4,1,119,50,17,121,19,3,18,0,9,16,10,155,2,9,0,3,5,2,27,0,12,0,0,13,133,0,4,20,5,0,1,21,13,0,0,6,36,77,13,53,0,30,5,0,0,36,10,0,2,4,4,2,15,21,27,0,2,1,0,0,19,1,2,19,8,5,10,0,0,20,3,0,531,76,0,1,0
"455",102,426,385,8,188,129,165,4,541,544,274,240,54,28,120,31,241,866,902,33,124,248,116,332,95,37,351,224,38,56,2,0,303,0,39,36,8,202,0,8,129,0,26,8,120,54,8,1,1,89,4,46,62,137,8,2,3,5,8,29,0,0,0,11,37,6,56,2,9,4,2,1,1,2,1,1,0,79,0,13,9,58,5,0,21,41,6,2,1,3,9,19,42,9,0,2,17,4,2,6,0,6,8,6,14,5,0,0,2,0,5,2,0,0,0,0,1
"456",130,274,649,62,36,473,384,181,57,121,163,547,75,5,169,47,377,1,54,0,140,49,2,70,57,62,9,62,139,33,1,265,80,2,27,12,3,225,29,40,21,2,231,29,5,80,15,0,34,13,10,23,1221,103,18,4,6,0,4,6,5,3,3,4,20,8,38,66,0,22,6,34,9,2,4,0,0,4,2,3,4,13,7,23,10,5,13,3,7,2,0,3,13,7,14,21,0,0,2,14,1,2,0,29,25,3,1,8,1,9,0,1,0,0,0,3,5
"457",322,31,136,79,325,267,57,163,283,149,12,13,60,195,28,141,14,8,46,40,29,24,11,49,142,119,6,48,4,9,5,3,48,14,44,111,143,10,3,16,1,6,17,13,13,60,71,2,19,3,28,31,5,16,3,3,27,48,10,16,18,8,32,3,14,0,11,26,0,20,0,3,3,6,0,4,0,5,3,0,23,1,2,16,7,8,2,5,0,5,33,2,0,0,11,3,0,1,2,2,0,0,3,0,0,0,0,0,5,0,1,4,27,0,2,0,0
"458",627,532,164,21,480,306,646,435,303,281,2,513,215,58,19,194,617,2,0,31,56,307,101,339,147,2,0,172,163,1,10,423,11,216,68,89,1,0,1,181,2,0,216,86,1,0,7,1,34,13,20,51,0,102,7,22,14,5,53,60,64,0,0,1,0,0,10,0,0,0,3,11,0,2,4,4,15,0,0,1,0,8,2,31,20,4,4,5,0,0,34,0,7,5,0,2,7,4,7,0,9,12,3,17,19,0,0,3,0,2,5,0,0,0,0,0,0
"459",60,189,210,465,243,207,448,211,183,198,203,133,81,47,0,316,109,0,0,26,62,411,154,110,127,9,16,125,0,34,1,172,148,20,1,46,1028,0,9,108,6,4,3,27,44,0,6,0,26,64,7,18,0,43,1,12,2,2,6,24,0,55,0,7,5,4,3,0,0,0,0,0,20,0,33,1,0,4,1,5,10,1,10,2,0,32,2,0,4,8,0,34,1,0,22,10,0,1,6,3,4,0,3,3,0,0,9,0,1,9,1,0,0,0,0,0,0
"460",1843,433,197,0,225,127,89,870,188,332,1107,40,234,1,642,67,138,0,0,273,2,292,5,232,1,45,10,1,0,5,50,64,0,201,0,0,0,0,1,27,32,135,0,15,1,0,1,0,1,109,0,6,105,0,0,56,60,11,0,76,0,18,0,4,0,25,0,0,0,0,1,6,0,1,270,0,1,5,0,4,0,47,1,0,3,0,7,0,5,0,0,30,17,15,2,0,5,2,1,1,2,1,4,1,32,13,20,5,1,0,2,12,0,0,0,0,0
"461",1458,584,897,1,1048,340,279,1,268,0,0,15,293,218,63,184,1,0,389,23,0,153,0,3,177,18,2,0,0,14,94,39,78,0,2,339,0,0,10,9,31,9,14,56,38,29,323,32,1,48,31,0,0,0,376,22,94,37,0,0,0,0,6,2,0,2,0,16,69,0,2,0,0,0,17,0,13,1,6,0,60,13,3,0,6,0,0,3,0,0,0,0,4,15,5,0,1,0,0,0,1,20,39,0,0,0,5,0,0,0,0,1,0,0,5,0,0
"462",417,661,872,3,646,446,410,227,143,218,42,62,71,221,0,324,478,622,257,37,78,161,154,83,133,7,5,155,131,71,1,0,118,11,27,124,23,28,0,0,39,37,41,17,0,69,34,6,6,9,57,81,0,10,11,11,18,7,65,16,114,0,6,2,12,14,1,1,4,3,22,18,49,21,0,18,3,8,5,10,17,20,7,4,20,14,10,4,2,2,4,2,8,3,0,0,3,0,0,3,15,16,1,1,6,0,1,5,2,4,2,3,0,0,1,0,0
"463",429,417,244,758,91,258,295,327,9,0,457,293,212,57,476,460,2,2,0,66,1,313,198,71,42,7,0,0,2,0,14,0,56,520,1,0,1,0,16,285,196,261,61,36,56,0,4,0,0,194,43,11,0,0,30,7,2,12,61,5,10,13,0,0,60,20,0,154,0,0,14,0,10,0,1,0,125,171,0,10,0,7,119,0,0,0,8,23,38,0,0,2,0,25,0,24,65,237,9,0,0,4,30,7,108,26,0,0,0,0,0,4,0,0,0,0,0
"464",227,17,79,47,511,479,26,49,108,174,30,15,60,122,51,285,20,3,67,20,57,13,0,45,266,9,18,146,4,28,0,2,29,1,12,77,215,5,9,92,2,3,31,2,0,18,49,1,65,40,49,23,7,64,1,3,58,0,43,17,28,7,6,18,90,0,11,48,4,50,3,1,18,10,0,1,0,12,11,2,19,2,3,14,5,11,3,0,4,20,30,2,4,0,0,2,0,0,5,0,0,0,2,0,3,7,2,2,1,3,6,0,7,0,0,0,0
