"","Otu000001","Otu000002","Otu000003","Otu000004","Otu000005","Otu000006","Otu000007","Otu000008","Otu000009","Otu000010","Otu000011","Otu000012","Otu000013","Otu000014","Otu000015","Otu000016","Otu000017","Otu000018","Otu000019","Otu000020","Otu000021","Otu000022","Otu000023","Otu000024","Otu000026","Otu000027","Otu000028","Otu000029","Otu000030","Otu000031","Otu000032","Otu000033","Otu000035","Otu000036","Otu000037","Otu000038","Otu000039","Otu000040","Otu000042","Otu000044","Otu000045","Otu000046","Otu000047","Otu000049","Otu000050","Otu000051","Otu000052","Otu000058","Otu000060","Otu000061","Otu000062","Otu000063","Otu000064","Otu000065","Otu000066","Otu000068","Otu000070","Otu000074","Otu000075","Otu000077","Otu000080","Otu000081","Otu000082","Otu000084","Otu000086","Otu000087","Otu000088","Otu000092","Otu000094","Otu000095","Otu000097","Otu000098","Otu000102","Otu000103","Otu000107","Otu000112","Otu000113","Otu000114","Otu000115","Otu000117","Otu000118","Otu000119","Otu000122","Otu000125","Otu000126","Otu000132","Otu000133","Otu000138","Otu000140","Otu000142","Otu000143","Otu000145","Otu000146","Otu000150","Otu000152","Otu000160","Otu000162","Otu000164","Otu000166","Otu000168","Otu000176","Otu000177","Otu000179","Otu000181","Otu000190","Otu000203","Otu000216","Otu000218","Otu000235","Otu000238","Otu000250","Otu000322","Otu000057","Otu000105","Otu000264","Otu000281","Otu000310"
"381",47,78,438,428,324,341,496,105,103,147,559,259,145,153,1,99,59,0,219,33,306,162,0,210,75,186,49,73,0,255,0,56,81,3,17,57,1,0,48,316,1,5,59,51,1,0,85,9,40,92,23,8,17,59,47,57,46,9,13,3,4,132,5,32,22,3,32,3,34,6,1,4,29,0,0,1,15,6,14,4,1,9,4,15,0,0,0,0,5,65,20,2,8,0,0,25,0,0,0,1,4,0,1,5,2,3,7,0,2,4,9,0,0,0,0,0,0
"382",2440,296,59,7,245,717,10,701,4,203,695,83,117,171,1,1,45,2,462,229,2,107,23,0,151,0,3,0,1,0,116,0,1,83,0,26,9,0,2,4,194,145,11,3,36,0,0,0,0,25,43,5,0,87,0,14,4,10,342,1,0,0,16,41,1,178,0,6,0,0,12,0,0,26,5,66,40,88,29,25,9,28,76,0,1,1,0,4,0,44,0,0,0,9,0,0,2,4,6,4,0,0,11,2,0,9,0,0,0,0,0,3,0,0,0,1,0
"383",2299,30,3,10,901,83,6,266,243,455,301,1,469,408,11,829,0,0,2,21,361,587,0,0,984,2,23,0,2,0,148,0,0,171,134,0,2,0,1,0,10,3,0,0,92,0,0,0,255,0,186,0,0,0,0,0,0,3,0,0,0,10,0,60,0,18,2,0,0,6,3,0,0,0,2,0,32,0,5,2,0,3,0,0,0,0,0,0,0,1,0,11,0,0,17,0,9,8,13,0,17,1,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"384",80,315,604,267,286,445,294,85,71,91,80,163,62,40,37,26,94,48,0,62,15,39,532,45,36,17,644,81,28,14,15,41,224,23,27,7,34,49,12,25,9,16,25,40,16,35,26,6,17,1,9,40,9,25,35,13,17,5,8,51,11,3,20,4,17,2,18,47,10,18,2,24,6,26,25,6,1,2,3,0,37,6,3,1,6,7,2,94,0,10,55,6,0,3,5,30,2,1,8,0,4,3,0,4,3,0,5,1,6,0,0,1,11,0,14,4,0
"385",148,359,303,369,162,107,307,131,114,122,136,179,43,81,89,115,377,933,260,51,132,89,133,301,64,130,1,229,77,774,1,26,72,4,7,24,29,17,49,10,4,18,37,5,6,88,24,4,13,169,5,71,425,7,20,10,9,14,12,61,0,181,0,3,20,6,33,4,18,4,2,4,12,0,6,2,26,1,13,23,11,10,1,5,26,3,6,1,10,7,17,4,14,17,5,11,4,0,3,6,0,0,1,5,0,0,0,4,1,7,3,8,0,8,1,0,0
"386",567,359,410,552,686,739,382,108,70,199,159,78,74,242,238,86,338,1569,76,7,207,84,182,94,136,92,0,47,76,0,3,4,51,28,39,101,216,0,0,2,15,0,17,31,19,131,97,0,15,1,16,0,0,0,5,25,29,5,12,3,22,1,99,0,0,0,0,0,0,14,1,12,38,25,0,39,18,17,23,0,5,2,0,0,0,21,2,0,0,0,5,16,8,5,0,1,0,0,0,0,2,2,3,0,1,0,1,0,4,5,0,0,0,0,0,1,0
"387",204,2147,200,53,24,241,157,123,35,111,241,131,91,158,122,174,0,0,152,37,352,53,482,503,147,91,48,15,40,69,4,1,190,7,34,0,145,108,43,39,17,12,34,6,6,0,2,0,43,60,31,13,13,16,0,2,0,8,3,49,6,8,2,5,7,0,5,0,1,0,0,3,20,8,0,2,0,4,10,22,8,5,6,6,20,24,16,1,0,6,2,0,27,0,3,4,3,0,7,2,1,5,2,25,14,5,5,0,4,0,5,2,0,0,0,0,0
"388",697,22,20,1651,398,136,13,67,137,281,319,6,313,170,37,1124,15,4,595,102,217,137,0,97,42,421,3,187,6,89,70,0,5,40,157,121,16,1,65,0,22,38,1,0,6,1,6,0,52,5,62,2,0,42,12,23,10,40,21,0,0,82,0,9,1,95,0,0,12,0,0,0,90,2,0,9,0,18,35,0,0,7,32,6,0,0,0,5,0,0,1,0,13,3,25,0,5,3,0,3,1,0,129,0,0,0,5,0,3,4,1,2,0,0,6,0,1
"389",228,199,992,397,129,75,690,386,34,166,306,222,42,220,88,31,255,3,0,7,0,9,158,84,176,254,1,10,274,60,481,252,0,28,261,2,0,400,361,107,15,82,43,0,7,0,2,0,15,10,2,109,135,37,32,16,1,0,12,38,2,1,0,1,0,58,4,13,0,0,2,8,0,1,22,1,15,1,12,26,36,1,1,1,26,32,5,0,2,0,0,6,15,5,0,2,0,2,17,21,13,1,0,14,7,15,0,4,0,12,5,1,0,0,0,0,0
"390",22,119,718,264,160,360,115,74,82,38,224,243,104,100,87,34,133,56,82,8,36,63,591,382,53,40,43,144,54,24,1,186,68,66,13,25,3,101,3,4,5,10,71,41,4,0,49,7,45,40,5,86,14,24,1,14,15,2,2,89,30,2,1,4,27,0,11,0,7,45,0,5,16,8,0,15,0,8,3,5,70,2,6,2,15,6,13,0,3,13,17,0,1,0,3,1,0,3,0,0,1,2,0,18,4,2,0,6,9,4,3,2,0,0,0,0,0
