Mean Squared Error,FoldID,ymin,ymax,# of Samples,Dataset,Index of Predicted Column,Algorithm
0.322297376259778,0,0.322297376259778,0.322297376259778,289,Amgut1,0,Featureless
0.5483651924357603,1,0.5483651924357603,0.5483651924357603,289,Amgut1,0,Featureless
2.1976535047712473,2,2.1976535047712473,2.1976535047712473,289,Amgut1,0,Featureless
0.6747198976546614,0,0.6747198976546614,0.6747198976546614,269,Amgut1,0,Featureless
0.2569802427855481,1,0.2569802427855481,0.2569802427855481,269,Amgut1,0,Featureless
2.3132436980922653,2,2.3132436980922653,2.3132436980922653,269,Amgut1,0,Featureless
0.575235232602532,0,0.575235232602532,0.575235232602532,249,Amgut1,0,Featureless
0.6032358534685636,1,0.6032358534685636,0.6032358534685636,249,Amgut1,0,Featureless
2.256064777099397,2,2.256064777099397,2.256064777099397,249,Amgut1,0,Featureless
0.5878423218207808,0,0.5878423218207807,0.5878423218207809,229,Amgut1,0,Featureless
0.6601166889248968,1,0.6601166889248968,0.6601166889248968,229,Amgut1,0,Featureless
2.4168670173914664,2,2.4168670173914664,2.4168670173914664,229,Amgut1,0,Featureless
0.5976301608224657,0,0.5976301608224657,0.5976301608224657,209,Amgut1,0,Featureless
0.7178136574319286,1,0.7178136574319286,0.7178136574319286,209,Amgut1,0,Featureless
2.682757377654943,2,2.682757377654943,2.682757377654943,209,Amgut1,0,Featureless
0.7871250241551453,0,0.7871250241551453,0.7871250241551453,189,Amgut1,0,Featureless
0.7814730491831987,1,0.7814730491831987,0.7814730491831987,189,Amgut1,0,Featureless
2.745456779134056,2,2.745456779134056,2.745456779134056,189,Amgut1,0,Featureless
0.5512103509092936,0,0.5512103509092936,0.5512103509092936,169,Amgut1,0,Featureless
1.3647599651931424,1,1.3647599651931424,1.3647599651931424,169,Amgut1,0,Featureless
2.7192033584861606,2,2.7192033584861606,2.7192033584861606,169,Amgut1,0,Featureless
1.1537601788384249,0,1.1537601788384249,1.1537601788384249,149,Amgut1,0,Featureless
0.7477107220739652,1,0.7477107220739652,0.7477107220739652,149,Amgut1,0,Featureless
2.7943608899860997,2,2.7943608899860997,2.7943608899860997,149,Amgut1,0,Featureless
3.440642652477565,0,3.440642652477565,3.440642652477565,129,Amgut1,0,Featureless
0.4056707652327068,1,0.4056707652327068,0.4056707652327068,129,Amgut1,0,Featureless
0.25202450853456,2,0.25202450853456,0.25202450853456,129,Amgut1,0,Featureless
0.43406392632848345,0,0.43406392632848345,0.43406392632848345,109,Amgut1,0,Featureless
0.40211464351076676,1,0.40211464351076676,0.40211464351076676,109,Amgut1,0,Featureless
0.9091178474125642,2,0.9091178474125642,0.9091178474125642,109,Amgut1,0,Featureless
0.5041246576227225,0,0.5041246576227225,0.5041246576227225,89,Amgut1,0,Featureless
0.5889525285136862,1,0.5889525285136862,0.5889525285136862,89,Amgut1,0,Featureless
0.17369669073127803,2,0.17369669073127803,0.17369669073127803,89,Amgut1,0,Featureless
1.009599601885705,0,1.009599601885705,1.009599601885705,69,Amgut1,0,Featureless
0.31621276897542455,1,0.31621276897542455,0.31621276897542455,69,Amgut1,0,Featureless
0.15259690218868116,2,0.15259690218868116,0.15259690218868116,69,Amgut1,0,Featureless
0.6953908904490279,0,0.6953908904490279,0.6953908904490279,49,Amgut1,0,Featureless
0.3227468612140626,1,0.3227468612140626,0.3227468612140626,49,Amgut1,0,Featureless
0.09397910170296128,2,0.09397910170296128,0.09397910170296128,49,Amgut1,0,Featureless
0.26420117001357213,0,0.26420117001357213,0.26420117001357213,29,Amgut1,0,Featureless
0.03333651401860693,1,0.03333651401860693,0.03333651401860693,29,Amgut1,0,Featureless
0.050642376255010384,2,0.050642376255010384,0.050642376255010384,29,Amgut1,0,Featureless
