Actinomyces,Actinobaculum,Alloprevotella,Catonella,Atopobium,Alistipes,Bacteroides,Incertae_Sedis,Bifidobacterium,Scardovia,Blautia,Capnocytophaga,Campylobacter,Corynebacterium,Enterococcus,Johnsonella,Fretibacterium,Lactobacillus,Stomatobaculum,Leptotrichia,Mycoplasma,Megasphaera,Mogibacterium,Methylobacterium,Oribacterium,Olsenella,Peptoniphilus,Phocaeicola,Porphyromonas,Prevotella,Pseudomonas,Parvimonas,Selenomonas,Sphingobium,Streptococcus,Shuttleworthia,Treponema,Solobacterium,Akkermansia,Lachnoanaerobaculum,Fusobacterium,Escherichia_Shigella,Peptostreptococcus,Neisseria,Bergeyella,Lautropia,Dialister,Kingella,Paludibacter,Veillonella,Abiotrophia,Tannerella,Haemophilus,Xanthomonas,Gemella,Delftia,Tumebacillus,Lactococcus,Anaerococcus,Enterobacter,Rothia,Staphylococcus
930,9,179,15,22,0,0,0,0,14,0,1111,274,0,234,11,0,0,11,1591,0,5,2,3,7,0,0,0,299,3114,0,0,29,0,5365,14,3,0,0,40,599,2,1,142,133,0,7,4,0,1055,0,0,1600,0,2199,0,0,0,0,0,855,3
126,26,18,14,16,0,1,17,0,0,0,135,331,14,27,0,5,0,1,1183,0,0,3,0,4,0,0,10,2984,729,0,31,17,0,9792,0,62,10,0,17,1955,0,1,0,238,0,3,0,4,321,0,9,0,0,98,0,0,0,0,0,74,0
1271,4,16,4,10,0,0,29,0,0,1,356,171,360,98,21,0,0,39,461,0,46,3,0,5,0,0,0,610,1575,0,15,169,0,1787,0,20,19,0,34,2240,0,6,572,12,16,20,2,136,1023,2,33,4168,0,136,0,0,0,0,0,652,0
69,41,59,5,3,0,1,0,0,0,0,47,43,21,164,0,0,0,27,670,0,8,0,0,5,0,0,0,314,1959,0,0,11,0,11478,0,6,9,0,12,97,0,0,954,36,0,0,0,0,2278,22,4,143,0,51,0,0,0,0,0,208,0
6829,9,120,13,1,0,0,3,1,0,0,77,329,43,86,4,0,0,5,1617,0,0,0,14,81,0,0,0,64,360,0,0,8,0,2388,3,15,0,0,30,1343,0,21,57,28,63,4,1308,1,1506,0,0,206,0,64,0,0,0,0,0,983,3
77,23,0,0,0,0,0,0,0,0,0,0,130,1,1,3,0,0,11,3968,0,0,0,0,17,0,0,0,2000,1292,0,0,0,0,2,0,0,0,0,12,0,0,3,0,0,0,0,0,0,221,0,0,5973,0,0,0,0,3,0,0,4186,1
58,0,200,0,2,0,0,2,0,0,0,48,27,1,16,5,0,0,3,136,0,1,0,0,4,0,1,0,42,455,0,2,5,0,4,5,15,0,0,11,130,0,0,0,44,0,0,0,0,73,1,0,1,1,11377,0,0,0,0,0,51,3
72,0,33,0,94,0,0,0,0,0,0,0,0,0,574,0,0,981,0,569,0,0,0,0,0,0,0,1,0,5077,164,2,0,0,56,0,0,0,0,0,19,6,0,0,6,0,3,0,2,6034,0,1,0,0,0,1,0,579,0,1,203,1
495,0,6,0,8,0,0,6,0,93,1,0,163,0,152,0,0,14,0,3673,0,0,0,0,6,0,0,0,0,1616,0,0,52,0,1862,0,0,0,0,41,24,1,0,0,0,0,6,0,0,2729,0,0,0,0,20,0,0,0,0,0,11655,0
21,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,185,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,41,0,0,4,0,0,0,0,2,0,0,0,0,0,24,0,0,0,6,119,79
713,0,3,0,50,0,0,66,18,0,33,56,523,134,0,0,0,37,224,98,0,0,2,375,31,144,0,32,31,33,0,45,132,12,401,0,55,0,0,38,72,83,0,36,0,0,175,0,5,625,0,432,127,0,12,27,0,29,0,0,291,36
1093,14,32,0,9,1,0,0,0,0,0,27,169,8,29,0,0,0,21,665,0,88,5,0,0,0,0,0,0,6054,0,0,72,0,1945,0,0,4,0,4,659,0,0,1339,6,0,1,39,0,2980,0,0,359,0,325,0,0,0,0,0,381,5
115,0,53,4,19,0,0,0,0,0,0,101,19,43,65,0,0,0,9,133,0,6,1,0,2,0,0,0,2186,1136,0,6,16,0,3839,0,3,4,0,5,160,0,6,2255,89,97,5,12,0,482,7,7,796,0,771,0,0,0,0,0,451,0
1004,10,3,6,2,0,0,0,0,7,0,3,1119,5,0,0,0,6,22,5997,0,0,0,0,98,0,0,1,404,3696,0,0,8,0,1793,20,11,0,0,133,652,0,0,0,0,0,4,0,0,825,4,0,0,0,0,0,0,169,0,0,364,3
1033,0,391,4,0,0,1,34,41,0,0,1502,1431,2,623,0,0,291,225,4869,0,130,0,15,318,0,0,0,264,4737,0,0,0,0,650,1,13,143,0,277,23,3,0,0,280,0,128,0,2,1401,0,3,0,0,672,0,0,406,0,1,719,4
629,15,18,0,0,0,0,0,0,20,0,190,0,337,312,0,0,1,0,112,0,0,0,3,0,0,0,0,0,1155,0,0,0,0,9772,0,0,0,0,0,0,0,0,1,88,0,2,0,0,1566,20,0,1844,1,1797,0,0,0,0,1,1216,1
2293,0,9,0,317,0,0,0,0,0,0,0,105,5,82,0,0,5,738,1,0,187,0,0,356,0,2,0,0,5298,0,0,356,0,5705,0,0,0,1,588,0,0,0,0,2,1,0,0,0,2334,0,0,1,0,572,0,0,0,0,0,1535,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,43,0,0,0,0,0,102,0,0,0,0,0,1,14,0,0,0,6715,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,8,9590,27
