var1,var2,Value
0,1,0.3819901997009953
0,2,0.2104171537569427
0,3,0.0213753414272292
0,4,0.1452010038269603
1,2,0.6346454332093395
1,3,0.0561545447393861
1,4,0.1023469506024528
2,3,0.0
2,4,0.0
3,4,0.26614694478645584
