test_error,# of Samples,Index of Predicted Column,Algorithm,algorithm
0.30861635261644244,268,7,Pearson Correlation,LassoCV
0.3013268128804267,248,7,Pearson Correlation,LassoCV
0.31260511219808146,228,7,Pearson Correlation,LassoCV
0.3141139158192176,208,7,Pearson Correlation,LassoCV
0.32476979651173826,188,7,Pearson Correlation,LassoCV
0.3298365010456634,168,7,Pearson Correlation,LassoCV
0.33341983103393796,148,7,Pearson Correlation,LassoCV
0.3164024299326557,128,7,Pearson Correlation,LassoCV
0.29792484424674925,108,7,Pearson Correlation,LassoCV
0.2865477557432542,88,7,Pearson Correlation,LassoCV
0.5802192747643858,68,7,Pearson Correlation,LassoCV
0.6070557583983135,48,7,Pearson Correlation,LassoCV
0.4415131499720652,28,7,Pearson Correlation,LassoCV
0.6048322855989845,288,8,Pearson Correlation,LassoCV
0.6064624564467163,268,8,Pearson Correlation,LassoCV
0.6707158160902694,248,8,Pearson Correlation,LassoCV
0.6697640458504227,228,8,Pearson Correlation,LassoCV
0.6560868307792618,208,8,Pearson Correlation,LassoCV
0.6405866373236532,188,8,Pearson Correlation,LassoCV
0.6318149509666106,168,8,Pearson Correlation,LassoCV
0.6117137836570827,148,8,Pearson Correlation,LassoCV
0.5830998030567772,128,8,Pearson Correlation,LassoCV
0.5606447003427215,108,8,Pearson Correlation,LassoCV
0.5667050832546701,88,8,Pearson Correlation,LassoCV
0.5667208173529459,68,8,Pearson Correlation,LassoCV
0.5751439406203701,48,8,Pearson Correlation,LassoCV
0.6979564717654331,28,8,Pearson Correlation,LassoCV
0.29996599058544193,288,9,Pearson Correlation,LassoCV
0.360339938066117,268,9,Pearson Correlation,LassoCV
0.31867136730109724,248,9,Pearson Correlation,LassoCV
0.3105455464109517,228,9,Pearson Correlation,LassoCV
0.3279169203577233,208,9,Pearson Correlation,LassoCV
0.31719076151159137,188,9,Pearson Correlation,LassoCV
0.3175663802691137,168,9,Pearson Correlation,LassoCV
0.28335589916822035,148,9,Pearson Correlation,LassoCV
0.26374876971840217,128,9,Pearson Correlation,LassoCV
0.2583394594790074,108,9,Pearson Correlation,LassoCV
0.25852230046510155,88,9,Pearson Correlation,LassoCV
0.27958783299569256,68,9,Pearson Correlation,LassoCV
0.27612258221761654,48,9,Pearson Correlation,LassoCV
0.7675278592853513,28,9,Pearson Correlation,LassoCV
0.3720837708646318,288,10,Pearson Correlation,LassoCV
0.4004050521813723,268,10,Pearson Correlation,LassoCV
0.4049544437103762,248,10,Pearson Correlation,LassoCV
0.40644741756768926,228,10,Pearson Correlation,LassoCV
0.4211198234140057,208,10,Pearson Correlation,LassoCV
0.4682644908235281,188,10,Pearson Correlation,LassoCV
0.4658694271257054,168,10,Pearson Correlation,LassoCV
0.4981658434763616,148,10,Pearson Correlation,LassoCV
0.49470556795127907,128,10,Pearson Correlation,LassoCV
0.5589784428393192,108,10,Pearson Correlation,LassoCV
0.5540748101630334,88,10,Pearson Correlation,LassoCV
0.6244186418795533,68,10,Pearson Correlation,LassoCV
0.39178276776429605,48,10,Pearson Correlation,LassoCV
0.4995556102660513,28,10,Pearson Correlation,LassoCV
0.11678557705320407,288,11,Pearson Correlation,LassoCV
0.29899565704955594,268,11,Pearson Correlation,LassoCV
0.2906190030680395,248,11,Pearson Correlation,LassoCV
0.25899514724990985,228,11,Pearson Correlation,LassoCV
0.27928323174831726,208,11,Pearson Correlation,LassoCV
0.3334342011012498,188,11,Pearson Correlation,LassoCV
0.3758163189835341,168,11,Pearson Correlation,LassoCV
0.38005830588470135,148,11,Pearson Correlation,LassoCV
0.33486700398710045,128,11,Pearson Correlation,LassoCV
0.3095281568776712,108,11,Pearson Correlation,LassoCV
0.3186224073286503,88,11,Pearson Correlation,LassoCV
0.3577287945536673,68,11,Pearson Correlation,LassoCV
0.46092943217169396,48,11,Pearson Correlation,LassoCV
0.4946996299507429,28,11,Pearson Correlation,LassoCV
0.17809061737396592,288,12,Pearson Correlation,LassoCV
0.2286229460309318,268,12,Pearson Correlation,LassoCV
0.22897770398290782,248,12,Pearson Correlation,LassoCV
0.2504106817646026,228,12,Pearson Correlation,LassoCV
0.22380059024975552,208,12,Pearson Correlation,LassoCV
0.19557815222190256,188,12,Pearson Correlation,LassoCV
0.17308467277184625,168,12,Pearson Correlation,LassoCV
0.1890574416490344,148,12,Pearson Correlation,LassoCV
0.2173275712544016,128,12,Pearson Correlation,LassoCV
0.3239928550858612,108,12,Pearson Correlation,LassoCV
0.21732006864259215,88,12,Pearson Correlation,LassoCV
0.2818955098967925,68,12,Pearson Correlation,LassoCV
0.3390368627973146,48,12,Pearson Correlation,LassoCV
0.37029521687177763,28,12,Pearson Correlation,LassoCV
0.48293461661242837,288,13,Pearson Correlation,LassoCV
0.49986171987704237,268,13,Pearson Correlation,LassoCV
0.4755409681261044,248,13,Pearson Correlation,LassoCV
0.48068643180254905,228,13,Pearson Correlation,LassoCV
0.5032664060909015,208,13,Pearson Correlation,LassoCV
0.4913651798699851,188,13,Pearson Correlation,LassoCV
0.5100471338654922,168,13,Pearson Correlation,LassoCV
0.47387403422328106,148,13,Pearson Correlation,LassoCV
0.41570182478146894,128,13,Pearson Correlation,LassoCV
0.49193434137695596,108,13,Pearson Correlation,LassoCV
0.44848804602412384,88,13,Pearson Correlation,LassoCV
0.579866223630298,68,13,Pearson Correlation,LassoCV
0.5920215523949336,48,13,Pearson Correlation,LassoCV
0.46526706238221593,28,13,Pearson Correlation,LassoCV
0.21843900729909493,288,14,Pearson Correlation,LassoCV
0.1952486927008951,268,14,Pearson Correlation,LassoCV
0.2245278434642366,248,14,Pearson Correlation,LassoCV
0.23250190646548866,228,14,Pearson Correlation,LassoCV
0.2709636735744772,208,14,Pearson Correlation,LassoCV
0.27840532382493305,188,14,Pearson Correlation,LassoCV
0.2693555868409485,168,14,Pearson Correlation,LassoCV
0.35375661735319697,148,14,Pearson Correlation,LassoCV
0.38869211225527556,128,14,Pearson Correlation,LassoCV
0.3682384737785142,108,14,Pearson Correlation,LassoCV
0.39191424451805984,88,14,Pearson Correlation,LassoCV
0.3291017866094393,68,14,Pearson Correlation,LassoCV
0.34738513860186754,48,14,Pearson Correlation,LassoCV
0.4981248148536806,28,14,Pearson Correlation,LassoCV
0.17929079115707355,288,15,Pearson Correlation,LassoCV
0.18558893281480782,268,15,Pearson Correlation,LassoCV
0.19028899926970125,248,15,Pearson Correlation,LassoCV
0.21519198670762407,228,15,Pearson Correlation,LassoCV
0.19687373692101906,208,15,Pearson Correlation,LassoCV
0.20616753849436573,188,15,Pearson Correlation,LassoCV
0.21879305889084263,168,15,Pearson Correlation,LassoCV
0.38735103807391763,148,15,Pearson Correlation,LassoCV
0.23361684897223967,128,15,Pearson Correlation,LassoCV
0.24910096889520986,108,15,Pearson Correlation,LassoCV
0.2810915370398486,88,15,Pearson Correlation,LassoCV
0.3066668962884797,68,15,Pearson Correlation,LassoCV
0.3173276709290966,48,15,Pearson Correlation,LassoCV
0.3741529629638416,28,15,Pearson Correlation,LassoCV
0.3851462621894912,288,16,Pearson Correlation,LassoCV
0.36644777275359974,268,16,Pearson Correlation,LassoCV
0.3707683354047819,248,16,Pearson Correlation,LassoCV
0.3810356373539565,228,16,Pearson Correlation,LassoCV
0.38918572376336985,208,16,Pearson Correlation,LassoCV
0.3980322396004367,188,16,Pearson Correlation,LassoCV
0.395990213382498,168,16,Pearson Correlation,LassoCV
0.34995328745920484,148,16,Pearson Correlation,LassoCV
0.42229872493776205,128,16,Pearson Correlation,LassoCV
0.5442436382032414,108,16,Pearson Correlation,LassoCV
0.441102423588511,88,16,Pearson Correlation,LassoCV
0.6090102043865911,68,16,Pearson Correlation,LassoCV
0.5306446754565427,48,16,Pearson Correlation,LassoCV
0.3658004091315054,28,16,Pearson Correlation,LassoCV
0.48098732465597593,288,17,Pearson Correlation,LassoCV
0.4651564782321196,268,17,Pearson Correlation,LassoCV
0.46759557360249965,248,17,Pearson Correlation,LassoCV
0.4415845489319121,228,17,Pearson Correlation,LassoCV
0.4598998992778672,208,17,Pearson Correlation,LassoCV
0.44153847406784297,188,17,Pearson Correlation,LassoCV
0.49070408000507787,168,17,Pearson Correlation,LassoCV
0.5709093519470924,148,17,Pearson Correlation,LassoCV
0.42074462323886563,128,17,Pearson Correlation,LassoCV
0.4239135287801048,108,17,Pearson Correlation,LassoCV
0.4475078556577001,88,17,Pearson Correlation,LassoCV
0.5892057186013314,68,17,Pearson Correlation,LassoCV
0.6332097275293765,48,17,Pearson Correlation,LassoCV
0.8939460114490784,28,17,Pearson Correlation,LassoCV
0.411375104501126,288,18,Pearson Correlation,LassoCV
0.3923727051008227,268,18,Pearson Correlation,LassoCV
0.3854549969448693,248,18,Pearson Correlation,LassoCV
0.40514617262442876,228,18,Pearson Correlation,LassoCV
0.3925452763991594,208,18,Pearson Correlation,LassoCV
0.42034895150544255,188,18,Pearson Correlation,LassoCV
0.42905528931654807,168,18,Pearson Correlation,LassoCV
0.45193351727531267,148,18,Pearson Correlation,LassoCV
0.5536890197581571,128,18,Pearson Correlation,LassoCV
0.47789840657828536,108,18,Pearson Correlation,LassoCV
0.45908235140493064,88,18,Pearson Correlation,LassoCV
