Mean Squared Error,FoldID,ymin,ymax,# of Samples,Dataset,Index of Predicted Column,Algorithm
0.0792138017839736,0,-0.5008252243041937,0.659252827872141,289,Amgut1,0,LassoCV
0.06715917455332975,1,-0.6778931118772307,0.8122114609838902,289,Amgut1,0,LassoCV
0.2190877157571323,2,-0.8985567202295879,1.3367321517438524,289,Amgut1,0,LassoCV
0.054466246056885846,0,-0.7663146716129747,0.8752471637267465,269,Amgut1,0,LassoCV
0.1595753529048602,1,-0.4310236404060716,0.7501743462157919,269,Amgut1,0,LassoCV
0.21481917468161443,2,-0.9176724892956138,1.3473108386588426,269,Amgut1,0,LassoCV
0.09841734160102726,0,-0.6962792097549547,0.8931138929570092,249,Amgut1,0,LassoCV
0.16781921537665354,1,-0.7709870281697351,1.1066254589230422,249,Amgut1,0,LassoCV
0.23666057667120355,2,-0.8298986264614401,1.3032197798038472,249,Amgut1,0,LassoCV
0.08022120381149515,0,-0.6910275404382331,0.8514699480612233,229,Amgut1,0,LassoCV
0.21530150027641776,1,-0.7836588212862752,1.2142618218391108,229,Amgut1,0,LassoCV
0.29634615636000744,2,-0.7411888165674527,1.3338811292874675,229,Amgut1,0,LassoCV
0.08982706393840555,0,-0.6553746218309459,0.835028749707757,209,Amgut1,0,LassoCV
0.19278210071378346,1,-0.7990387178913562,1.1846029193189231,209,Amgut1,0,LassoCV
0.23975843317579704,2,-0.9502449232373981,1.429761789588992,209,Amgut1,0,LassoCV
0.1995182809774559,0,-0.8344359091146263,1.233472471069538,189,Amgut1,0,LassoCV
0.09384196609745203,1,-0.8326434728648678,1.020327405059772,189,Amgut1,0,LassoCV
0.2967542547090433,2,-0.8514134373728561,1.4449219467909429,189,Amgut1,0,LassoCV
0.048895622553736744,0,-0.6372148900477221,0.7350061351551955,169,Amgut1,0,LassoCV
0.19150860666210492,1,-1.0811819462595071,1.4641991595837172,169,Amgut1,0,LassoCV
0.2310618429477848,2,-1.0012086020132547,1.4633322879088244,169,Amgut1,0,LassoCV
0.06786699332090804,0,-1.0843960171268314,1.2201300037686473,149,Amgut1,0,LassoCV
