f__Bacteroidaceae,f__Ruminococcaceae,f__Lachnospiraceae,f__Enterobacteriaceae,f__Pasteurellaceae
4.491668573492433,3.6773339461753967,3.687261773281282,3.615053168579553,1.425521870631036
5.386238041935985,4.661329597134431,4.908862535108311,2.2361973460893743,1.535484908673732
5.34367090288918,4.083775871130534,5.02885578788467,1.7412222981893497,2.0065504641386327
3.1076225080119184,0.6640095641326176,3.4388942762641914,0.9765185662064352,0.0
4.408458823245817,3.603091694637925,4.59054495272426,1.6089954452805486,2.0681541593740014
4.95819708691802,3.528392071216701,4.830826008195611,2.926358865345744,1.162057187015194
4.634090461481839,2.3088264304763233,3.7070236476847254,1.7220487404366769,2.3541209590544474
5.546384896104692,5.4909188414589485,5.2690239777174055,3.687608312149718,3.6090164598954257
4.376213427199878,2.549624116818861,4.457361147156256,3.1731754342067204,3.254554983323253
3.8548602305183066,3.642843403863171,4.03997985797411,1.5045794204531204,1.3813627988344455
5.373692158624742,3.8485960365119403,4.431484248488389,1.8813884106211896,2.7304694140326236
4.093256332295206,3.1896796070554814,4.029490144985708,2.068131886602869,0.2905142967537985
5.3380908365565025,4.272190345788537,5.1345609192442225,4.136727702833064,2.391984230132082
4.551696075632002,3.1371625367200284,2.715424945693676,2.1488381663783582,4.172966602327315
2.6556036012426585,1.4805526226852825,2.7365165391171176,3.537203545401336,2.906369073342388
5.823411537481354,4.989250623574671,5.057568448918347,3.220818879373921,3.755219942860048
5.258899901671171,2.200978099889372,3.8523427659143445,2.9918843002488407,3.1185866161761444
5.0017957827421595,3.49679253362032,4.237847784742646,1.4496557750960362,1.31415942048614
5.560881495006095,3.913504542479637,4.978610040693364,1.1133961240478611,3.1071167257252177
4.813907179505812,3.5367954736476954,5.048411076039952,3.7515377744759615,2.4773539854998226
5.494958476188525,4.402932617714754,4.519210937853631,3.60669841442425,3.237312137870335
5.039978715766494,2.3635224793924623,2.924959107272204,2.8207247922986114,3.541676994393579
3.491620599864906,2.116543577068461,1.530534228609071,0.5447859306812818,3.3172025542391452
2.5896376463924486,2.5790743437984793,2.268796909306554,2.709467296064605,2.1056265644905703
5.329174745422938,4.5041132814006115,5.310795484511754,3.390216304671645,2.2643892440193496
4.048675325092846,3.7169171098699567,5.063781302258858,1.6218811892065839,0.674553307599089
5.708657485234358,5.076885124574974,5.970237078941279,2.5465277840945397,3.8129326107265498
4.931196188153888,3.432879646806032,4.688860333919368,2.635662628711632,2.586704972792959
5.642500124432225,4.04088890019489,4.505398950499541,3.0946148260412727,4.5304420156550185
4.985556299897425,4.378982295432465,4.902467717396391,1.602390584256182,1.6560592359031805
5.341998290923641,3.9706575935592916,4.517051847833033,4.105748182961647,1.7622856352116583
5.314248323812641,4.272830695686904,5.40095552705367,3.074850607539827,2.642342869773172
